"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_gtst_txn_st","gtgt_ckn","Gateway Transaction Status Table","Business Transaction Contrived Key","numeric"
"dbo","fhd_gtst_txn_st","gtst_seq_nol","Gateway Transaction Status Table","Status Sequence Number","int"
"dbo","fhd_gtst_txn_st","gtst_sts","Gateway Transaction Status Table","Status Value","int"
"dbo","fhd_gtst_txn_st","pzpz_id","Gateway Transaction Status Table","Product ID","char"
"dbo","fhd_gtst_txn_st","pzap_app_id","Gateway Transaction Status Table","Application ID","char"
"dbo","fhd_gtst_txn_st","syin_inst","Gateway Transaction Status Table","Instance ID","bigint"
"dbo","fhd_gtst_txn_st","gtst_sts_dtm","Gateway Transaction Status Table","Status Datetime","datetime"
"dbo","fhd_gtst_txn_st","gtst_reserved","Gateway Transaction Status Table","Reserved","char"
"dbo","fhd_gtst_txn_st","gtst_last_usus_id","Gateway Transaction Status Table","Last User ID","char"
"dbo","fhd_gtst_txn_st","gtst_last_upd_dtm","Gateway Transaction Status Table","Last Update Date/time","datetime"
"dbo","fhd_gtst_txn_st","gtst_lock_token","Gateway Transaction Status Table","Lock Token","smallint"
"dbo","fhd_gtst_txn_st","atxr_source_id","Gateway Transaction Status Table","Attachment Source Id","datetime"
