"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_icdf_intchg_d","icdf_ck","Interchange Definitions","Interchange Definition Contrived Key","int"
"dbo","fhd_icdf_intchg_d","pzpz_id","Interchange Definitions","Product ID","char"
"dbo","fhd_icdf_intchg_d","icdf_id","Interchange Definitions","Interchange Definition ID","char"
"dbo","fhd_icdf_intchg_d","icdf_pzcd_mtyp","Interchange Definitions","Interchange Media Type","char"
"dbo","fhd_icdf_intchg_d","icdf_pzcd_mreg","Interchange Definitions","Media Registration Type","char"
"dbo","fhd_icdf_intchg_d","icdf_pzcd_bfmt","Interchange Definitions","Business Format","char"
"dbo","fhd_icdf_intchg_d","icdf_pzcd_pfmt","Interchange Definitions","Physical Format","char"
"dbo","fhd_icdf_intchg_d","icdf_pzcd_ftyp","Interchange Definitions","Format Type","char"
"dbo","fhd_icdf_intchg_d","icdf_dir_allow_ind","Interchange Definitions","Direction Allowed Indicator","char"
"dbo","fhd_icdf_intchg_d","icdf_io_allow_ind","Interchange Definitions","Input/Output Allowed Indicator","char"
"dbo","fhd_icdf_intchg_d","icdf_int_stor_loc","Interchange Definitions","Internal Storage Location","char"
"dbo","fhd_icdf_intchg_d","icdf_reserved","Interchange Definitions","Reserved","char"
"dbo","fhd_icdf_intchg_d","icdf_last_usus_id","Interchange Definitions","Last User ID","char"
"dbo","fhd_icdf_intchg_d","icdf_last_upd_dtm","Interchange Definitions","Last Update Date/time","datetime"
"dbo","fhd_icdf_intchg_d","icdf_lock_token","Interchange Definitions","Lock Token","smallint"
"dbo","fhd_icdf_intchg_d","atxr_source_id","Interchange Definitions","Attachment Source Id","datetime"
