"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_icfl_file_x","icic_ck","Interchange File","Interchange Contrived Key","int"
"dbo","fhd_icfl_file_x","icic_seq_nol","Interchange File","Interchange Sequence Number","int"
"dbo","fhd_icfl_file_x","icfl_orig_fi_name","Interchange File","Original File Name","varchar"
"dbo","fhd_icfl_file_x","icfl_file_loc","Interchange File","File Location","varchar"
"dbo","fhd_icfl_file_x","icfl_file_size","Interchange File","File Size","numeric"
"dbo","fhd_icfl_file_x","icfl_file_cr_dtm","Interchange File","File Create Date/Time","datetime"
"dbo","fhd_icfl_file_x","icfl_file_acc_dtm","Interchange File","File Last Accessed Date/Time","datetime"
"dbo","fhd_icfl_file_x","icfl_file_mod_dtm","Interchange File","File Last Modified Date/Time","datetime"
"dbo","fhd_icfl_file_x","icfl_checksum","Interchange File","File Integrity Check","int"
"dbo","fhd_icfl_file_x","icfl_create_dtm","Interchange File","Record Create Date/Time","datetime"
"dbo","fhd_icfl_file_x","icfl_reserved","Interchange File","Reserved","char"
"dbo","fhd_icfl_file_x","icfl_last_usus_id","Interchange File","Last User ID","char"
"dbo","fhd_icfl_file_x","icfl_last_upd_dtm","Interchange File","Last Update Date/time","datetime"
"dbo","fhd_icfl_file_x","icfl_lock_token","Interchange File","Lock Token","smallint"
"dbo","fhd_icfl_file_x","atxr_source_id","Interchange File","Attachment Source Id","datetime"
