"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_icic_intchg_x","icic_ck","Interchange Transaction Table","Interchange Transaction Contrived Key","int"
"dbo","fhd_icic_intchg_x","icdf_ck","Interchange Transaction Table","Interchange Definition Contrived Key","int"
"dbo","fhd_icic_intchg_x","icic_dir_ind","Interchange Transaction Table","Direction Indicator","char"
"dbo","fhd_icic_intchg_x","icic_io_ind","Interchange Transaction Table","Input/Output Indicator","char"
"dbo","fhd_icic_intchg_x","icdf_pzcd_mreg","Interchange Transaction Table","Media Registration Type","char"
"dbo","fhd_icic_intchg_x","pzpz_id","Interchange Transaction Table","Product ID","char"
"dbo","fhd_icic_intchg_x","icic_reserved","Interchange Transaction Table","Reserved","char"
"dbo","fhd_icic_intchg_x","icic_last_usus_id","Interchange Transaction Table","Last User ID","char"
"dbo","fhd_icic_intchg_x","icic_last_upd_dtm","Interchange Transaction Table","Last Update Date/time","datetime"
"dbo","fhd_icic_intchg_x","icic_lock_token","Interchange Transaction Table","Lock Token","smallint"
"dbo","fhd_icic_intchg_x","atxr_source_id","Interchange Transaction Table","Attachment Source Id","datetime"
