"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_icmq_msg_que_x","icic_ck","Interchange Message Queue","Interchange Contrived Key","int"
"dbo","fhd_icmq_msg_que_x","icmq_seq_nol","Interchange Message Queue","Interchange Contrived Key","int"
"dbo","fhd_icmq_msg_que_x","icmq_msg_id","Interchange Message Queue","Message Identifier","varchar"
"dbo","fhd_icmq_msg_que_x","icmq_correl_id","Interchange Message Queue","Correlated Identifier","varchar"
"dbo","fhd_icmq_msg_que_x","icmq_que_name","Interchange Message Queue","Queue Name","varchar"
"dbo","fhd_icmq_msg_que_x","icmq_que_mgr","Interchange Message Queue","Queue Manager Name","varchar"
"dbo","fhd_icmq_msg_que_x","icmq_msg_size","Interchange Message Queue","Message Identifier","int"
"dbo","fhd_icmq_msg_que_x","icmq_create_dtm","Interchange Message Queue","ICMQ Create Datetime","datetime"
"dbo","fhd_icmq_msg_que_x","icmq_reserved","Interchange Message Queue","Reserved for Future Use","char"
"dbo","fhd_icmq_msg_que_x","icmq_last_usus_id","Interchange Message Queue","Last Update User Identifier","char"
"dbo","fhd_icmq_msg_que_x","icmq_last_upd_dtm","Interchange Message Queue","Last Update Datetime","datetime"
"dbo","fhd_icmq_msg_que_x","icmq_lock_token","Interchange Message Queue","Lock Token","smallint"
"dbo","fhd_icmq_msg_que_x","atxr_source_id","Interchange Message Queue","Attachment Source Id","datetime"
