"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_ixix_index_d","ixix_ck","Index Definition","Index contrived key","int"
"dbo","fhd_ixix_index_d","pzpz_id","Index Definition","Product identifier","char"
"dbo","fhd_ixix_index_d","ixix_name","Index Definition","Index name","varchar"
"dbo","fhd_ixix_index_d","gtgt_pzcd_btyp","Index Definition","Business type","char"
"dbo","fhd_ixix_index_d","ixix_req_indb","Index Definition","Required indicator ('Y' or 'N')","char"
"dbo","fhd_ixix_index_d","ixix_ixun_indb","Index Definition","Unique index indicator ('Y' or 'N')","char"
"dbo","fhd_ixix_index_d","ixix_pzcd_ityp","Index Definition","Index type","char"
"dbo","fhd_ixix_index_d","ixix_active_indb","Index Definition","Active indicator ('Y' or 'N')","char"
"dbo","fhd_ixix_index_d","ixix_reserved","Index Definition","Reserved","char"
"dbo","fhd_ixix_index_d","ixix_last_usus_id","Index Definition","Last User ID","char"
"dbo","fhd_ixix_index_d","ixix_last_upd_dtm","Index Definition","Last Update Date/time","datetime"
"dbo","fhd_ixix_index_d","ixix_lock_token","Index Definition","Lock Token","smallint"
"dbo","fhd_ixix_index_d","atxr_source_id","Index Definition","Attachment Source Id","datetime"
