"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_pzcd_prod_cd_a","pzpz_id","Product Code Definition Table","Product ID","char"
"dbo","fhd_pzcd_prod_cd_a","sycd_entity","Product Code Definition Table","System Code Entity","char"
"dbo","fhd_pzcd_prod_cd_a","sycd_type","Product Code Definition Table","Type","char"
"dbo","fhd_pzcd_prod_cd_a","sycv_value","Product Code Definition Table","System Code Value","char"
"dbo","fhd_pzcd_prod_cd_a","pzcd_descs","Product Code Definition Table","Description","varchar"
"dbo","fhd_pzcd_prod_cd_a","pzcd_filter","Product Code Definition Table","Product Code Filter","char"
"dbo","fhd_pzcd_prod_cd_a","pzcd_reserved","Product Code Definition Table","Reserved","char"
"dbo","fhd_pzcd_prod_cd_a","pzcd_last_usus_id","Product Code Definition Table","Last User ID","char"
"dbo","fhd_pzcd_prod_cd_a","pzcd_last_upd_dtm","Product Code Definition Table","Last Update Date/time","datetime"
"dbo","fhd_pzcd_prod_cd_a","pzcd_lock_token","Product Code Definition Table","Lock Token","smallint"
"dbo","fhd_pzcd_prod_cd_a","atxr_source_id","Product Code Definition Table","Attachment Source Id","datetime"
