"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_pzsy_system_a","exsy_id","Product System Class Availability","External System ID","char"
"dbo","fhd_pzsy_system_a","enct_ctyp","Product System Class Availability","Entity Class Type","char"
"dbo","fhd_pzsy_system_a","pzpz_id","Product System Class Availability","Product ID","char"
"dbo","fhd_pzsy_system_a","pzsy_active_indb","Product System Class Availability","Product System Class Type Active Indicator","char"
"dbo","fhd_pzsy_system_a","pzsy_protect","Product System Class Availability","Product System Class Type Protect Indicator","char"
"dbo","fhd_pzsy_system_a","pzsy_descs","Product System Class Availability","Product System Class Description","varchar"
"dbo","fhd_pzsy_system_a","pzsy_reserved","Product System Class Availability","Reserved","char"
"dbo","fhd_pzsy_system_a","pzsy_last_usus_id","Product System Class Availability","Last User ID","char"
"dbo","fhd_pzsy_system_a","pzsy_last_upd_dtm","Product System Class Availability","Last Update Date/time","datetime"
"dbo","fhd_pzsy_system_a","pzsy_lock_token","Product System Class Availability","Lock Token","smallint"
"dbo","fhd_pzsy_system_a","atxr_source_id","Product System Class Availability","Attachment Source Id","datetime"
