"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_sect_job_ctl_x","pzpz_id","Job Control","Product ID","char"
"dbo","fhd_sect_job_ctl_x","pzap_app_id","Job Control","Application ID","char"
"dbo","fhd_sect_job_ctl_x","seng_engine_number","Job Control","Process Engine ID","smallint"
"dbo","fhd_sect_job_ctl_x","sect_req_sts","Job Control","Command request status","int"
"dbo","fhd_sect_job_ctl_x","sect_rsp_sts","Job Control","Command response status","int"
"dbo","fhd_sect_job_ctl_x","sect_req_dtm","Job Control","Request datetime","datetime"
"dbo","fhd_sect_job_ctl_x","sect_req_usus","Job Control","Last User ID","char"
"dbo","fhd_sect_job_ctl_x","sect_rsp_dtm","Job Control","Response datetime","datetime"
"dbo","fhd_sect_job_ctl_x","sect_rsp_usus","Job Control","Last User ID","char"
"dbo","fhd_sect_job_ctl_x","sect_req_cmd","Job Control","Request command","varchar"
"dbo","fhd_sect_job_ctl_x","sect_req_parms","Job Control","Request parameters","varchar"
"dbo","fhd_sect_job_ctl_x","sect_rsp_text","Job Control","Response text","varchar"
"dbo","fhd_sect_job_ctl_x","sect_reserved","Job Control","Reserved","char"
"dbo","fhd_sect_job_ctl_x","sect_last_usus_id","Job Control","Last User ID","char"
"dbo","fhd_sect_job_ctl_x","sect_last_upd_dtm","Job Control","Last Update Date/time","datetime"
"dbo","fhd_sect_job_ctl_x","sect_lock_token","Job Control","Lock Token","smallint"
"dbo","fhd_sect_job_ctl_x","atxr_source_id","Job Control","Attachment Source Id","datetime"
