"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_sehi_eng_hist","pzpz_id","Real-time Status History","Product ID","char"
"dbo","fhd_sehi_eng_hist","pzap_app_id","Real-time Status History","Application ID","char"
"dbo","fhd_sehi_eng_hist","seng_engine_number","Real-time Status History","Process Engine ID","smallint"
"dbo","fhd_sehi_eng_hist","sehi_row_id","Real-time Status History","Identifier column to make row unique","numeric"
"dbo","fhd_sehi_eng_hist","sest_run_sts","Real-time Status History","Run status of the engine.","int"
"dbo","fhd_sehi_eng_hist","sest_run_rpm","Real-time Status History","Check Transaction Time","int"
"dbo","fhd_sehi_eng_hist","sest_create_dtm","Real-time Status History","Create Date Time","datetime"
"dbo","fhd_sehi_eng_hist","sest_last_txn_dtm","Real-time Status History","Last Transaction Date Time","datetime"
"dbo","fhd_sehi_eng_hist","sest_row_upd_ctr","Real-time Status History","Row Update Counter","int"
"dbo","fhd_sehi_eng_hist","sest_unit_ctr","Real-time Status History","Unit Counter","int"
"dbo","fhd_sehi_eng_hist","sest_to_resp_sec_l","Real-time Status History","Total Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_be_resp_sec_l","Real-time Status History","Back End Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_gw_resp_sec_l","Real-time Status History","Gateway Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_to_resp_sec_a","Real-time Status History","Total Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_be_resp_sec_a","Real-time Status History","Back End Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_gw_resp_sec_a","Real-time Status History","Gateway Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_to_resp_sec_m","Real-time Status History","Total Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_be_resp_sec_m","Real-time Status History","Back End Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_gw_resp_sec_m","Real-time Status History","Gateway Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_to_resp_sec_x","Real-time Status History","Total Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_be_resp_sec_x","Real-time Status History","Back End Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_gw_resp_sec_x","Real-time Status History","Gateway Response Time","numeric"
"dbo","fhd_sehi_eng_hist","sest_reserved","Real-time Status History","Reserved for future use","char"
"dbo","fhd_sehi_eng_hist","sest_last_usus_id","Real-time Status History","Last Update User","char"
"dbo","fhd_sehi_eng_hist","sest_last_upd_dtm","Real-time Status History","Last Update Date Time","datetime"
"dbo","fhd_sehi_eng_hist","sest_lock_token","Real-time Status History","Lock Token","smallint"
"dbo","fhd_sehi_eng_hist","atxr_source_id","Real-time Status History","Attachment Source Id","datetime"
