"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_stst_status_d","pzpz_id","Status Definition Table","Product ID","char"
"dbo","fhd_stst_status_d","gtgt_pzcd_ctyp","Status Definition Table","Generic Trasaction Class Type","char"
"dbo","fhd_stst_status_d","stst_sts_value","Status Definition Table","Status Value","int"
"dbo","fhd_stst_status_d","stst_descs","Status Definition Table","Status Short Description","varchar"
"dbo","fhd_stst_status_d","stst_desc","Status Definition Table","Status Description","varchar"
"dbo","fhd_stst_status_d","stst_reserved","Status Definition Table","Reserved","char"
"dbo","fhd_stst_status_d","stst_last_usus_id","Status Definition Table","Last User ID","char"
"dbo","fhd_stst_status_d","stst_last_upd_dtm","Status Definition Table","Last Update Date/time","datetime"
"dbo","fhd_stst_status_d","stst_lock_token","Status Definition Table","Lock Token","smallint"
"dbo","fhd_stst_status_d","atxr_source_id","Status Definition Table","Attachment Source Id","datetime"
