"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_sycd_sys_cd_d","sycd_entity","System Codes Table","System Code Entity","char"
"dbo","fhd_sycd_sys_cd_d","sycd_type","System Codes Table","System Code Type","char"
"dbo","fhd_sycd_sys_cd_d","sycd_system_indb","System Codes Table","System Indicator","char"
"dbo","fhd_sycd_sys_cd_d","sycd_mod_desc_indb","System Codes Table","Modify Description Indicator","char"
"dbo","fhd_sycd_sys_cd_d","sycd_descs","System Codes Table","System Code Description","varchar"
"dbo","fhd_sycd_sys_cd_d","sycd_reserved","System Codes Table","Reserved","char"
"dbo","fhd_sycd_sys_cd_d","sycd_last_usus_id","System Codes Table","Last User ID","char"
"dbo","fhd_sycd_sys_cd_d","sycd_last_upd_dtm","System Codes Table","Last Update Date/time","datetime"
"dbo","fhd_sycd_sys_cd_d","sycd_lock_token","System Codes Table","Lock Token","smallint"
"dbo","fhd_sycd_sys_cd_d","atxr_source_id","System Codes Table","Attachment Source Id","datetime"
