"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_syct_sys_cls_a","exsy_id","System Class Availability","External System ID","char"
"dbo","fhd_syct_sys_cls_a","enct_ctyp","System Class Availability","Entity Class Type","char"
"dbo","fhd_syct_sys_cls_a","syct_active_indb","System Class Availability","System/Class Active Indicator","char"
"dbo","fhd_syct_sys_cls_a","syct_exen_ctyp","System Class Availability","External System Class Type","char"
"dbo","fhd_syct_sys_cls_a","syct_descs","System Class Availability","System Class Description","varchar"
"dbo","fhd_syct_sys_cls_a","syct_reserved","System Class Availability","Reserved","char"
"dbo","fhd_syct_sys_cls_a","syct_last_usus_id","System Class Availability","Last User ID","char"
"dbo","fhd_syct_sys_cls_a","syct_last_upd_dtm","System Class Availability","Last Update Date/time","datetime"
"dbo","fhd_syct_sys_cls_a","syct_lock_token","System Class Availability","Lock Token","smallint"
"dbo","fhd_syct_sys_cls_a","atxr_source_id","System Class Availability","Attachment Source Id","datetime"
