"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_tfex_edi_xml_d","tftf_id","XML/EDI transformation","Transformation Method Identifier","char"
"dbo","fhd_tfex_edi_xml_d","tftf_seq_no","XML/EDI transformation","Transformation Method Sequence Number","smallint"
"dbo","fhd_tfex_edi_xml_d","tfex_data_file","XML/EDI transformation","Data Transformation File Name","varchar"
"dbo","fhd_tfex_edi_xml_d","tfex_object","XML/EDI transformation","Object Name","varchar"
"dbo","fhd_tfex_edi_xml_d","tfex_method","XML/EDI transformation","Data Transformation Method Name","varchar"
"dbo","fhd_tfex_edi_xml_d","tfex_reserved","XML/EDI transformation","Reserved for future use","char"
"dbo","fhd_tfex_edi_xml_d","tfex_last_usus_id","XML/EDI transformation","Last Update User Identifier","char"
"dbo","fhd_tfex_edi_xml_d","tfex_last_upd_dtm","XML/EDI transformation","Last Update Datetime","datetime"
"dbo","fhd_tfex_edi_xml_d","tfex_lock_token","XML/EDI transformation","Lock Token","smallint"
"dbo","fhd_tfex_edi_xml_d","atxr_source_id","XML/EDI transformation","Attachment Source Id","datetime"
