"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_tfne_neon_d","tftf_id","Transformation - Sybase New Era of Networks Type","Transformation Method Identifier","char"
"dbo","fhd_tfne_neon_d","tftf_seq_no","Transformation - Sybase New Era of Networks Type","Transformation Method Sequence Number","smallint"
"dbo","fhd_tfne_neon_d","tfne_map_name","Transformation - Sybase New Era of Networks Type","Map Name","varchar"
"dbo","fhd_tfne_neon_d","tfne_map_loc","Transformation - Sybase New Era of Networks Type","Map Location","varchar"
"dbo","fhd_tfne_neon_d","tfne_runmap_ind","Transformation - Sybase New Era of Networks Type","RunMap Type Indicator","char"
"dbo","fhd_tfne_neon_d","tfne_reserved","Transformation - Sybase New Era of Networks Type","Reserved for future use","char"
"dbo","fhd_tfne_neon_d","tfne_last_usus_id","Transformation - Sybase New Era of Networks Type","Last Update User Identifier","char"
"dbo","fhd_tfne_neon_d","tfne_last_upd_dtm","Transformation - Sybase New Era of Networks Type","Last Update Datetime","datetime"
"dbo","fhd_tfne_neon_d","tfne_lock_token","Transformation - Sybase New Era of Networks Type","Lock Token","smallint"
"dbo","fhd_tfne_neon_d","atxr_source_id","Transformation - Sybase New Era of Networks Type","Attachment Source Id","datetime"
