"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_tfno_neonopt_d","tftf_id","Transformation - Sybase New Era of Networks Options","Transformation Method Identifier","char"
"dbo","fhd_tfno_neonopt_d","tftf_seq_no","Transformation - Sybase New Era of Networks Options","Transformation Method Sequence Number","smallint"
"dbo","fhd_tfno_neonopt_d","tfno_seq_no","Transformation - Sybase New Era of Networks Options","New Era of Networks Options Sequence","smallint"
"dbo","fhd_tfno_neonopt_d","tfno_option","Transformation - Sybase New Era of Networks Options","New Era of Networks Option","varchar"
"dbo","fhd_tfno_neonopt_d","tfno_option_val","Transformation - Sybase New Era of Networks Options","New Era of Networks Option Value","varchar"
"dbo","fhd_tfno_neonopt_d","tfno_reserved","Transformation - Sybase New Era of Networks Options","Reserved for Future Use","char"
"dbo","fhd_tfno_neonopt_d","tfno_last_usus_id","Transformation - Sybase New Era of Networks Options","Last Update User Identifier","char"
"dbo","fhd_tfno_neonopt_d","tfno_last_upd_dtm","Transformation - Sybase New Era of Networks Options","Last Update Datetime","datetime"
"dbo","fhd_tfno_neonopt_d","tfno_lock_token","Transformation - Sybase New Era of Networks Options","Lock Token","smallint"
"dbo","fhd_tfno_neonopt_d","atxr_source_id","Transformation - Sybase New Era of Networks Options","Attachment Source Id","datetime"
