"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_tfre_trans_r","gtgt_pzcd_btyp","Transformation Method Relationship","Business Transaction Type","char"
"dbo","fhd_tfre_trans_r","exsy_id_source","Transformation Method Relationship","Source External System Identifier","char"
"dbo","fhd_tfre_trans_r","exsy_id_dest","Transformation Method Relationship","Destination External System Identifier","char"
"dbo","fhd_tfre_trans_r","tfre_pzcd_type","Transformation Method Relationship","Transformation Type","char"
"dbo","fhd_tfre_trans_r","tftf_id","Transformation Method Relationship","Transformation Method Identifier","char"
"dbo","fhd_tfre_trans_r","tfre_reserved","Transformation Method Relationship","Reserved for Future Use","char"
"dbo","fhd_tfre_trans_r","tfre_last_usus_id","Transformation Method Relationship","Last Update User ID","char"
"dbo","fhd_tfre_trans_r","tfre_last_upd_dtm","Transformation Method Relationship","Last Update DateTime","datetime"
"dbo","fhd_tfre_trans_r","tfre_lock_token","Transformation Method Relationship","Lock Token","smallint"
"dbo","fhd_tfre_trans_r","atxr_source_id","Transformation Method Relationship","Attachment Source Id","datetime"
