"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_gtou_unit_x","gtgt_ckn","Oubound Unit","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_gtou_unit_x","dohd_ckn_orig","Oubound Unit","","numeric"
"dbo","fhg_gtou_unit_x","gtou_merge_indb","Oubound Unit","Merged Indicator","char"
"dbo","fhg_gtou_unit_x","gtou_merge_type","Oubound Unit","Merge Type","char"
"dbo","fhg_gtou_unit_x","gtou_cmp_ind","Oubound Unit","Compliance Indicator","char"
"dbo","fhg_gtou_unit_x","gtou_byp_req_indb","Oubound Unit","Bypass Request Indicator","char"
"dbo","fhg_gtou_unit_x","gtou_cmp_chkr","Oubound Unit","Compliance Checker Name","varchar"
"dbo","fhg_gtou_unit_x","gtou_map","Oubound Unit","Compliance Map Name","varchar"
"dbo","fhg_gtou_unit_x","gtou_pass_indb","Oubound Unit","Compliance Pass Indicator","char"
"dbo","fhg_gtou_unit_x","gtou_ec_custno","Oubound Unit","Internal Trading Partner ID","varchar"
