"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_gtpa_purge_x","gtgt_ckn","Purge and Archive Status Table","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_gtpa_purge_x","gtpa_pzcd_type","Purge and Archive Status Table","Purge or Archive","char"
"dbo","fhg_gtpa_purge_x","gtpa_purge_dtm","Purge and Archive Status Table","Purge Date","datetime"
"dbo","fhg_gtpa_purge_x","gtpa_index_ind","Purge and Archive Status Table","Index Data Availability","char"
"dbo","fhg_gtpa_purge_x","syin_inst","Purge and Archive Status Table","System Instance","bigint"
"dbo","fhg_gtpa_purge_x","gtpa_reserved","Purge and Archive Status Table","Reserved for future use","char"
"dbo","fhg_gtpa_purge_x","gtpa_last_usus_id","Purge and Archive Status Table","Last Update User","char"
"dbo","fhg_gtpa_purge_x","gtpa_last_upd_dtm","Purge and Archive Status Table","Last Update Date Time","datetime"
"dbo","fhg_gtpa_purge_x","gtpa_lock_token","Purge and Archive Status Table","Lock Token","smallint"
"dbo","fhg_gtpa_purge_x","atxr_source_id","Purge and Archive Status Table","Attachment Source Id","datetime"
