"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_gtrt_realtm_x","gtgt_ckn","","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_gtrt_realtm_x","gtrt_cntl_id_ib","","","varchar"
"dbo","fhg_gtrt_realtm_x","gtrt_cntl_id_ob","","","varchar"
"dbo","fhg_gtrt_realtm_x","syin_inst_id","","","int"
"dbo","fhg_gtrt_realtm_x","gtrt_retcd","","","int"
"dbo","fhg_gtrt_realtm_x","gtrt_req_dtm","","","datetime"
"dbo","fhg_gtrt_realtm_x","gtrt_rsp_dtm","","","datetime"
"dbo","fhg_gtrt_realtm_x","gtrt_tot_rsp_sec","","","numeric"
"dbo","fhg_gtrt_realtm_x","gtrt_be_req_dtm","","","datetime"
"dbo","fhg_gtrt_realtm_x","gtrt_be_rsp_dtm","","","datetime"
"dbo","fhg_gtrt_realtm_x","gtrt_be_rsp_sec","","","numeric"
"dbo","fhg_gtrt_realtm_x","gtrt_gw_req_sec","","","numeric"
"dbo","fhg_gtrt_realtm_x","gtrt_gw_rsp_sec","","","numeric"
"dbo","fhg_gtrt_realtm_x","gtrt_gw_tot_sec","","","numeric"
