"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_rpt0_or1040_temp","session_id","Temp Storage table","Session Identifier","int"
"dbo","fhg_rpt0_or1040_temp","user_id","Temp Storage table","Session User","char"
"dbo","fhg_rpt0_or1040_temp","session_dtm","Temp Storage table","Session Date/Time","datetime"
"dbo","fhg_rpt0_or1040_temp","gtgt_ckn","Temp Storage table","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_rpt0_or1040_temp","icfl_orig_fi_name","Temp Storage table","Original File Name","varchar"
"dbo","fhg_rpt0_or1040_temp","gtgt_pzcd_btyp","Temp Storage table","Business Transaction Type","char"
"dbo","fhg_rpt0_or1040_temp","num_frm_errs","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_frm_lbt","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_gtou_trans","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_merge_failed","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_cmp_checked","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_cmp_passed","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_cmp_bad_go","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_cmp_bad_stop","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_cmp_byp","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_lbt_env","Temp Storage table","","int"
"dbo","fhg_rpt0_or1040_temp","num_lbt_out","Temp Storage table","","int"
