"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_rpt0_tr1000_temp","session_id","Temp Storage table","Session Identifier","int"
"dbo","fhg_rpt0_tr1000_temp","user_id","Temp Storage table","Session User","char"
"dbo","fhg_rpt0_tr1000_temp","session_dtm","Temp Storage table","Session Date/Time","datetime"
"dbo","fhg_rpt0_tr1000_temp","gtgt_ckn","Temp Storage table","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_rpt0_tr1000_temp","gtgt_pzcd_btyp","Temp Storage table","Business Transaction Type","char"
"dbo","fhg_rpt0_tr1000_temp","pzcd_btyp_descs","Temp Storage table","","varchar"
"dbo","fhg_rpt0_tr1000_temp","gtia_fi_name","Temp Storage table","","varchar"
"dbo","fhg_rpt0_tr1000_temp","xiss_isa_06","Temp Storage table","Interchange Sender ID","char"
"dbo","fhg_rpt0_tr1000_temp","xgss_gs_02","Temp Storage table","Application Sender's Code","char"
"dbo","fhg_rpt0_tr1000_temp","xgss_gs_03","Temp Storage table","Application Receiver's Code","char"
"dbo","fhg_rpt0_tr1000_temp","xgss_gs_08","Temp Storage table","Version / Release","char"
"dbo","fhg_rpt0_tr1000_temp","ixal_value_1","Temp Storage table","","varchar"
"dbo","fhg_rpt0_tr1000_temp","ixal_value_2","Temp Storage table","","varchar"
"dbo","fhg_rpt0_tr1000_temp","exsy_id","Temp Storage table","External System ID","char"
"dbo","fhg_rpt0_tr1000_temp","exsy_pzcd_type","Temp Storage table","Processing Type","char"
"dbo","fhg_rpt0_tr1000_temp","exsy_desc","Temp Storage table","External System Description","varchar"
"dbo","fhg_rpt0_tr1000_temp","output_name","Temp Storage table","","varchar"
"dbo","fhg_rpt0_tr1000_temp","success_indb","Temp Storage table","","char"
