"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_symc_med_con_d","symc_pzcd_type","System Media Connections Table","Purge or Archive","char"
"dbo","fhg_symc_med_con_d","symc_pzcd_mtyp","System Media Connections Table","Media Type","char"
"dbo","fhg_symc_med_con_d","symc_media_info1","System Media Connections Table","Location/Connection Information","varchar"
"dbo","fhg_symc_med_con_d","symc_media_info2","System Media Connections Table","Location/Connection Information","varchar"
"dbo","fhg_symc_med_con_d","symc_media_info3","System Media Connections Table","Location/Connection Information","varchar"
"dbo","fhg_symc_med_con_d","symc_media_info4","System Media Connections Table","Location/Connection Information","varchar"
"dbo","fhg_symc_med_con_d","symc_reserved","System Media Connections Table","Reserved for future Use","char"
"dbo","fhg_symc_med_con_d","symc_last_usus_id","System Media Connections Table","Last Update User","char"
"dbo","fhg_symc_med_con_d","symc_last_upd_dtm","System Media Connections Table","Last Update Date Time","datetime"
"dbo","fhg_symc_med_con_d","symc_lock_token","System Media Connections Table","Lock Token","smallint"
"dbo","fhg_symc_med_con_d","atxr_source_id","System Media Connections Table","Attachment Source Id","datetime"
