"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_tlog_trans_log","tlog_row_id","","Row Identifier","numeric"
"dbo","fhg_tlog_trans_log","gtgt_ckn","","Gateway Transaction Contrived Key","numeric"
"dbo","fhg_tlog_trans_log","tlog_rec_type","","","char"
"dbo","fhg_tlog_trans_log","tlog_run_dt","","","datetime"
"dbo","fhg_tlog_trans_log","tlog_process_ind","","","char"
"dbo","fhg_tlog_trans_log","tlog_direction","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_func_id_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_trans_name","","","char"
"dbo","fhg_tlog_trans_log","tlog_trans_version","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_isa_type","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_custno","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_send_qual","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_send_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_app_send_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_recv_qual","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_recv_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_app_recv_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_interchange_no","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_group_no","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_trans_no","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_error_ctr","","","int"
"dbo","fhg_tlog_trans_log","tlog_trans_ctr","","","int"
"dbo","fhg_tlog_trans_log","tlog_line_no","","","int"
"dbo","fhg_tlog_trans_log","tlog_severity_code","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_snip_level","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_msg_no","","","int"
"dbo","fhg_tlog_trans_log","tlog_msg_text","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_segment","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_filename","","","varchar"
"dbo","fhg_tlog_trans_log","tlog_lock_token","","Lock Token","smallint"
"dbo","fhg_tlog_trans_log","sys_last_upd_dtm","","Last Update Datetime","datetime"
"dbo","fhg_tlog_trans_log","sys_usus_id","","Last Update User ID","varchar"
"dbo","fhg_tlog_trans_log","sys_dbuser_id","","Last Update DBMS User ID","varchar"
"dbo","fhg_tlog_trans_log","tlog_trans_lbu_id_nvl","","","varchar"
