"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_tpet_envl_d","tpet_id","Stores Envelope Trading Partner data.","Receiver/Sender ID (ISA06)","varchar"
"dbo","fhg_tpet_envl_d","tpet_pzcd_type","Stores Envelope Trading Partner data.","Version and Processing Type","char"
"dbo","fhg_tpet_envl_d","tpet_name","Stores Envelope Trading Partner data.","Receiver/Sender name","varchar"
"dbo","fhg_tpet_envl_d","tpet_descl","Stores Envelope Trading Partner data.","Description for the Receiver/Sender","varchar"
"dbo","fhg_tpet_envl_d","tpet_it_isa05","Stores Envelope Trading Partner data.","Envelope Trading Partner qualifier to identify the sender in ISA06","char"
"dbo","fhg_tpet_envl_d","tpet_ibox","Stores Envelope Trading Partner data.","Inbox Directory Path","varchar"
"dbo","fhg_tpet_envl_d","tpet_obox","Stores Envelope Trading Partner data.","Outbox Directory Path","varchar"
"dbo","fhg_tpet_envl_d","tpet_core_indb","Stores Envelope Trading Partner data.","CORE Processing Indicator","char"
"dbo","fhg_tpet_envl_d","tpet_ta1_indb","Stores Envelope Trading Partner data.","TA1 Processing Indicator","char"
"dbo","fhg_tpet_envl_d","tpet_isa14_pos_ind","Stores Envelope Trading Partner data.","ISA14 Positive Transaction Indicator","char"
"dbo","fhg_tpet_envl_d","tpet_isa14_neg_ind","Stores Envelope Trading Partner data.","ISA14 Negative Transaction Indicator","char"
"dbo","fhg_tpet_envl_d","tpet_it_isa03_ind","Stores Envelope Trading Partner data.","Validate Inbound ISA03/ISA04 Transaction Indicator","char"
"dbo","fhg_tpet_envl_d","tpet_it_isa04","Stores Envelope Trading Partner data.","ISA04 Inbound Password","varchar"
"dbo","fhg_tpet_envl_d","tpet_ot_isa03","Stores Envelope Trading Partner data.","Populate Outbound Transaction ISA03/ISA04","char"
"dbo","fhg_tpet_envl_d","tpet_ot_isa04","Stores Envelope Trading Partner data.","ISA04 Outbound Password","varchar"
"dbo","fhg_tpet_envl_d","tpet_ot_isa14","Stores Envelope Trading Partner data.","Outbound Transaction ISA14 value for requesting a TA1","char"
"dbo","fhg_tpet_envl_d","tpet_last_upd_dtm","Stores Envelope Trading Partner data.","Last Update Data and Time","datetime"
"dbo","fhg_tpet_envl_d","tpet_last_upd_usus","Stores Envelope Trading Partner data.","Last Update User ID","char"
"dbo","fhg_tpet_envl_d","tpet_lock_token","Stores Envelope Trading Partner data.","Lock Token","smallint"
"dbo","fhg_tpet_envl_d","atxr_source_id","Stores Envelope Trading Partner data.","Attachment Source Id","datetime"
