"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_tpit_inbound_u","custno","","Gateway TP Customer Number","varchar"
"dbo","fhg_tpit_inbound_u","gtgt_pzcd_btyp","","Business Transaction Type","char"
"dbo","fhg_tpit_inbound_u","tpit_cmp_indb","","Compliance Indicator","char"
"dbo","fhg_tpit_inbound_u","tpit_ack_indb","","Acknowledgement Indicator","char"
"dbo","fhg_tpit_inbound_u","tpit_ack_tran","","Acknowledgement Requested Indicator","char"
"dbo","fhg_tpit_inbound_u","tpit_tf_xslt","","Custom Transformation File Name","varchar"
"dbo","fhg_tpit_inbound_u","tpit_last_usus_id","","Last Update User","char"
"dbo","fhg_tpit_inbound_u","tpit_last_upd_dtm","","","datetime"
"dbo","fhg_tpit_inbound_u","tpit_lock_token","","Lock Token","smallint"
"dbo","fhg_tpit_inbound_u","atxr_source_id","","Attachment Source Id","datetime"
"dbo","fhg_tpit_inbound_u","tpit_277ca_ind_nvl","","","char"
