"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_tpot_outbound_u","custno","","Gateway TP Customer Number","varchar"
"dbo","fhg_tpot_outbound_u","gtgt_pzcd_btyp","","Business Transaction Type","char"
"dbo","fhg_tpot_outbound_u","tpot_active_ind","","Active Btyp indicator","char"
"dbo","fhg_tpot_outbound_u","tpot_isa13","","ISA13 Control Number","int"
"dbo","fhg_tpot_outbound_u","tpot_gs06","","GS06 Group Control Number","int"
"dbo","fhg_tpot_outbound_u","tpot_isa15","","ISA15 Interchange Usage Indicator","char"
"dbo","fhg_tpot_outbound_u","tpot_last_usus_id","","Last Update User","char"
"dbo","fhg_tpot_outbound_u","tpot_last_upd_dtm","","","datetime"
"dbo","fhg_tpot_outbound_u","tpot_lock_token","","Lock Token","smallint"
"dbo","fhg_tpot_outbound_u","atxr_source_id","","Attachment Source Id","datetime"
"dbo","fhg_tpot_outbound_u","tpot_cmp_indb","","","char"
"dbo","fhg_tpot_outbound_u","tpot_allow_non_indb","","","char"
