"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_xiss_isa_seg_x","dohd_ckn","ISA/IEA Segment Table","Document Contrived Key","numeric"
"dbo","fhg_xiss_isa_seg_x","xiss_elmnt_sep","ISA/IEA Segment Table","Element Delimiter","char"
"dbo","fhg_xiss_isa_seg_x","xiss_sgmnt_term","ISA/IEA Segment Table","Segment Terminator","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_01","ISA/IEA Segment Table","Authorization Information Qualifier","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_02","ISA/IEA Segment Table","Authorization Information","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_03","ISA/IEA Segment Table","Security Information Qualifier","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_04","ISA/IEA Segment Table","Security Information","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_05","ISA/IEA Segment Table","Interchange ID Qualifier","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_06","ISA/IEA Segment Table","Interchange Sender ID","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_07","ISA/IEA Segment Table","Interchange ID Qualifier","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_08","ISA/IEA Segment Table","Interchange Receiver ID","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_09","ISA/IEA Segment Table","Interchange Date","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_10","ISA/IEA Segment Table","Interchange Time","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_11","ISA/IEA Segment Table","Interchange Control Standards Identifier","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_12","ISA/IEA Segment Table","Interchange Control Version Number","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_13","ISA/IEA Segment Table","Interchange Control Number","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_14","ISA/IEA Segment Table","Acknowledgement Requested","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_15","ISA/IEA Segment Table","Usage Indicator","char"
"dbo","fhg_xiss_isa_seg_x","xiss_isa_16","ISA/IEA Segment Table","Component Element Separator","char"
"dbo","fhg_xiss_isa_seg_x","xiss_iea_01","ISA/IEA Segment Table","Number of Included Functional Groups","char"
"dbo","fhg_xiss_isa_seg_x","xiss_iea_02","ISA/IEA Segment Table","Interchange Control Number","char"
"dbo","fhg_xiss_isa_seg_x","dots_seq_nol_beg_o","ISA/IEA Segment Table","Beginning Sequence Number for Document Text, Outbound","int"
"dbo","fhg_xiss_isa_seg_x","xiss_offset_o","ISA/IEA Segment Table","Outer Transaction Offset","int"
"dbo","fhg_xiss_isa_seg_x","xiss_length_o","ISA/IEA Segment Table","Outer Transaction Length","int"
"dbo","fhg_xiss_isa_seg_x","dots_seq_nol_end_o","ISA/IEA Segment Table","Ending Sequence Number for Document Text, Outbound","int"
"dbo","fhg_xiss_isa_seg_x","dots_seq_nol_beg_i","ISA/IEA Segment Table","Beginning Sequence Number for Document Text, Inbound","int"
"dbo","fhg_xiss_isa_seg_x","xiss_offset_i","ISA/IEA Segment Table","Inner Transaction Offset","int"
"dbo","fhg_xiss_isa_seg_x","xiss_length_i","ISA/IEA Segment Table","Inner Transaction Length","int"
"dbo","fhg_xiss_isa_seg_x","dots_seq_nol_end_i","ISA/IEA Segment Table","Ending Sequence Number for Document Text, Inbound","int"
"dbo","fhg_xiss_isa_seg_x","xiss_reserved","ISA/IEA Segment Table","Reserved for future use","char"
"dbo","fhg_xiss_isa_seg_x","xiss_last_usus_id","ISA/IEA Segment Table","Last Update User","char"
"dbo","fhg_xiss_isa_seg_x","xiss_last_upd_dtm","ISA/IEA Segment Table","Last Update Date Time","datetime"
"dbo","fhg_xiss_isa_seg_x","xiss_lock_token","ISA/IEA Segment Table","Lock Token","smallint"
"dbo","fhg_xiss_isa_seg_x","atxr_source_id","ISA/IEA Segment Table","Attachment Source Id","datetime"
