"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhg_xsts_st_seg_x","dohd_ckn","ST/SE Segment Table","Document Contrived Key","numeric"
"dbo","fhg_xsts_st_seg_x","xgss_seq_nol","ST/SE Segment Table","GS/GE Sequence Number","int"
"dbo","fhg_xsts_st_seg_x","xsts_seq_nol","ST/SE Segment Table","ST Segment Sequence Number","int"
"dbo","fhg_xsts_st_seg_x","xsts_st_01","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","xsts_st_02","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","xsts_se_01","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","xsts_se_02","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","dots_seq_nol_beg_o","ST/SE Segment Table","Beginning Sequence Number for Document Text, Outbound","int"
"dbo","fhg_xsts_st_seg_x","xsts_offset_o","ST/SE Segment Table","","int"
"dbo","fhg_xsts_st_seg_x","xsts_length_o","ST/SE Segment Table","","int"
"dbo","fhg_xsts_st_seg_x","dots_seq_nol_end_o","ST/SE Segment Table","Ending Sequence Number for Document Text, Outbound","int"
"dbo","fhg_xsts_st_seg_x","dots_seq_nol_beg_i","ST/SE Segment Table","Beginning Sequence Number for Document Text, Inbound","int"
"dbo","fhg_xsts_st_seg_x","xsts_offset_i","ST/SE Segment Table","","int"
"dbo","fhg_xsts_st_seg_x","xsts_length_i","ST/SE Segment Table","","int"
"dbo","fhg_xsts_st_seg_x","dots_seq_nol_end_i","ST/SE Segment Table","Ending Sequence Number for Document Text, Outbound","int"
"dbo","fhg_xsts_st_seg_x","xsts_reserved","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","xsts_last_usus_id","ST/SE Segment Table","","char"
"dbo","fhg_xsts_st_seg_x","xsts_last_upd_dtm","ST/SE Segment Table","","datetime"
"dbo","fhg_xsts_st_seg_x","xsts_lock_token","ST/SE Segment Table","Lock Token","smallint"
"dbo","fhg_xsts_st_seg_x","atxr_source_id","ST/SE Segment Table","Attachment Source Id","datetime"
