"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_mdar_arg_d","mdmd_id","Method Argument Definition","Method Identifier","char"
"dbo","fhp_mdar_arg_d","mdar_seq_no","Method Argument Definition","Method Argument Sequence Number","smallint"
"dbo","fhp_mdar_arg_d","mdar_argument_1","Method Argument Definition","Method Argument Value 1","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_2","Method Argument Definition","Method Argument Value 2","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_3","Method Argument Definition","Method Argument Value 3","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_4","Method Argument Definition","Method Argument Value 4","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_5","Method Argument Definition","Method Argument Value 5","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_6","Method Argument Definition","Method Argument Value 6","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_7","Method Argument Definition","Method Argument Value 7","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_8","Method Argument Definition","Method Argument Value 8","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_9","Method Argument Definition","Method Argument Value 9","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_10","Method Argument Definition","Method Argument Value 10","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_11","Method Argument Definition","Method Argument Value 11","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_12","Method Argument Definition","Method Argument Value 12","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_13","Method Argument Definition","Method Argument Value 13","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_14","Method Argument Definition","Method Argument Value 14","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_15","Method Argument Definition","Method Argument Value 15","varchar"
"dbo","fhp_mdar_arg_d","mdar_argument_16","Method Argument Definition","Method Argument Value 16","varchar"
"dbo","fhp_mdar_arg_d","mdar_reserved","Method Argument Definition","Reserved","char"
"dbo","fhp_mdar_arg_d","mdar_last_usus_id","Method Argument Definition","Last Update User ID","char"
"dbo","fhp_mdar_arg_d","mdar_last_upd_dtm","Method Argument Definition","Last Update Datetime","datetime"
"dbo","fhp_mdar_arg_d","mdar_lock_token","Method Argument Definition","Lock Token","smallint"
"dbo","fhp_mdar_arg_d","atxr_source_id","Method Argument Definition","Attachment Source Id","datetime"
