"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_mdmd_method_d","mdmd_id","Filter Method Definition","Method Identifier","char"
"dbo","fhp_mdmd_method_d","mdmd_pzcd_category","Filter Method Definition","Method Category","char"
"dbo","fhp_mdmd_method_d","pzpz_id","Filter Method Definition","Product ID","char"
"dbo","fhp_mdmd_method_d","pzap_app_id","Filter Method Definition","Product Application ID","char"
"dbo","fhp_mdmd_method_d","mdmd_name","Filter Method Definition","Method Name","varchar"
"dbo","fhp_mdmd_method_d","mdmd_descs","Filter Method Definition","Method Description","varchar"
"dbo","fhp_mdmd_method_d","mdmd_reserved","Filter Method Definition","Reserved","char"
"dbo","fhp_mdmd_method_d","mdmd_last_usus_id","Filter Method Definition","Last Update User ID","char"
"dbo","fhp_mdmd_method_d","mdmd_last_upd_dtm","Filter Method Definition","Last Update Date time","datetime"
"dbo","fhp_mdmd_method_d","mdmd_lock_token","Filter Method Definition","Lock Token","smallint"
"dbo","fhp_mdmd_method_d","atxr_source_id","Filter Method Definition","Attachment Source Id","datetime"
