"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_pav0_temp","session_id","Privacy Member Authorization View","Session Identifier","int"
"dbo","fhp_pav0_temp","user_id","Privacy Member Authorization View","Session User","char"
"dbo","fhp_pav0_temp","session_dtm","Privacy Member Authorization View","Session Date Time","datetime"
"dbo","fhp_pav0_temp","enen_cke","Privacy Member Authorization View","Entity Contrived Key","int"
"dbo","fhp_pav0_temp","pmax_seq_no","Privacy Member Authorization View","Member Authorization Sequence Number","smallint"
"dbo","fhp_pav0_temp","pmax_enen_cke","Privacy Member Authorization View","Entity Contrived Key for Authorzation Recipient","int"
"dbo","fhp_pav0_temp","enct_ctyp","Privacy Member Authorization View","Entity Class Type","char"
"dbo","fhp_pav0_temp","pmed_id","Privacy Member Authorization View","Member Identifier","varchar"
"dbo","fhp_pav0_temp","pbed_id","Privacy Member Authorization View","Business Entity Identifier","varchar"
"dbo","fhp_pav0_temp","pmpr_id","Privacy Member Authorization View","Personal Representative Identifier","varchar"
"dbo","fhp_pav0_temp","pav0_lname","Privacy Member Authorization View","Last Name","varchar"
"dbo","fhp_pav0_temp","pav0_fname","Privacy Member Authorization View","First Name","varchar"
"dbo","fhp_pav0_temp","pav0_mid_init","Privacy Member Authorization View","Middle Initial","char"
"dbo","fhp_pav0_temp","pav0_bname","Privacy Member Authorization View","Organization Name","varchar"
"dbo","fhp_pav0_temp","pmax_eff_dt","Privacy Member Authorization View","Effective Date for Member Authorization","datetime"
"dbo","fhp_pav0_temp","pmax_term_dtm","Privacy Member Authorization View","Authorization Term Date","datetime"
"dbo","fhp_pav0_temp","pmax_pzcd_trsn","Privacy Member Authorization View","Member Authorization Termination Reason","char"
"dbo","fhp_pav0_temp","pmax_revoke_indb","Privacy Member Authorization View","Revoke Indicator","varchar"
"dbo","fhp_pav0_temp","pmat_id","Privacy Member Authorization View","Authorization Definition Identifier","char"
"dbo","fhp_pav0_temp","pmat_pzcd_type","Privacy Member Authorization View","User Defined Authorization Type","char"
"dbo","fhp_pav0_temp","pzcd_descs","Privacy Member Authorization View","Authorization Type Description","varchar"
"dbo","fhp_pav0_temp","pmat_desc","Privacy Member Authorization View","Authorization Description","varchar"
"dbo","fhp_pav0_temp","atad_name","Privacy Member Authorization View","Address Attachment Name","char"
