"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_pbex_agree_x","pbed_cke","Business Entity Agreement Relationship","Business Entity Contrived Key","int"
"dbo","fhp_pbex_agree_x","pbex_seq_no","Business Entity Agreement Relationship","Business Agreement Relationship Sequence Number","smallint"
"dbo","fhp_pbex_agree_x","pbex_eff_dt","Business Entity Agreement Relationship","Effective Date of Business Agreement Relationship","datetime"
"dbo","fhp_pbex_agree_x","pbex_orig_end_dt","Business Entity Agreement Relationship","Original End Date of Business Agreement Relationship","datetime"
"dbo","fhp_pbex_agree_x","pced_cke","Business Entity Agreement Relationship","Covered Entity Contrived Key","int"
"dbo","fhp_pbex_agree_x","pbea_id","Business Entity Agreement Relationship","Agreement Definition Identifier","char"
"dbo","fhp_pbex_agree_x","pbex_term_dtm","Business Entity Agreement Relationship","Business Agreement Relationship Termination Date","datetime"
"dbo","fhp_pbex_agree_x","pbex_pzcd_trsn","Business Entity Agreement Relationship","Business Agreement Relationship Termination Reason","char"
"dbo","fhp_pbex_agree_x","pbex_reserved","Business Entity Agreement Relationship","Reserved","char"
"dbo","fhp_pbex_agree_x","pbex_last_usus_id","Business Entity Agreement Relationship","Last User ID","char"
"dbo","fhp_pbex_agree_x","pbex_last_upd_dtm","Business Entity Agreement Relationship","Last Update Date/time","datetime"
"dbo","fhp_pbex_agree_x","pbex_lock_token","Business Entity Agreement Relationship","Lock Token","smallint"
"dbo","fhp_pbex_agree_x","atxr_source_id","Business Entity Agreement Relationship","Attachment Source Id","datetime"
