"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_pdv0_temp","session_id","Accounting of Disclosures View","Session Identifier","int"
"dbo","fhp_pdv0_temp","user_id","Accounting of Disclosures View","Session User","char"
"dbo","fhp_pdv0_temp","session_dtm","Accounting of Disclosures View","Session Date Time","datetime"
"dbo","fhp_pdv0_temp","pmed_cke","Accounting of Disclosures View","Privacy Member Entity Contrived Key","int"
"dbo","fhp_pdv0_temp","pmdr_req_no","Accounting of Disclosures View","Disclosure Request Number","smallint"
"dbo","fhp_pdv0_temp","pmdx_seq_no","Accounting of Disclosures View","Disclosure Sequence Number","smallint"
"dbo","fhp_pdv0_temp","pmdx_pzcd_drsn","Accounting of Disclosures View","Disclosure Reason","char"
"dbo","fhp_pdv0_temp","pmdx_disc_dtm","Accounting of Disclosures View","Date of Disclosure","datetime"
"dbo","fhp_pdv0_temp","pmdx_rcp_enen_cke","Accounting of Disclosures View","Recipient Contrived Key","int"
"dbo","fhp_pdv0_temp","pmdx_rcp_enen_ctyp","Accounting of Disclosures View","Recipient Type","char"
"dbo","fhp_pdv0_temp","pdv0_lname","Accounting of Disclosures View","Last Name","varchar"
"dbo","fhp_pdv0_temp","pdv0_fname","Accounting of Disclosures View","First Name","varchar"
"dbo","fhp_pdv0_temp","enod_bname","Accounting of Disclosures View","Organization Name","varchar"
"dbo","fhp_pdv0_temp","atad_name","Accounting of Disclosures View","Address attachment name","varchar"
"dbo","fhp_pdv0_temp","pzcd_descs","Accounting of Disclosures View","Disclosure Reason Description","varchar"
