"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_pdv4_temp","session_id","Temp Storage table","Session Identifier","int"
"dbo","fhp_pdv4_temp","user_id","Temp Storage table","Session User","char"
"dbo","fhp_pdv4_temp","session_dtm","Temp Storage table","Session Date/Time","datetime"
"dbo","fhp_pdv4_temp","pmed_cke","Temp Storage table","Privacy Member Entity Contrived Key","int"
"dbo","fhp_pdv4_temp","pmdx_seq_no","Temp Storage table","Disclosure Sequence Number","smallint"
"dbo","fhp_pdv4_temp","pmdx_pzcd_drsn","Temp Storage table","Disclosure Reason","char"
"dbo","fhp_pdv4_temp","pmdx_pzcd_mtyp","Temp Storage table","Disclosure Method","char"
"dbo","fhp_pdv4_temp","pmdx_disc_dtm","Temp Storage table","Date of Disclosure","datetime"
"dbo","fhp_pdv4_temp","pmdx_dsc_enen_cke","Temp Storage table","Disclosing Entity Contrived Key","int"
"dbo","fhp_pdv4_temp","pmdx_dsc_enen_ctyp","Temp Storage table","Disclosing Entity Class Type","char"
"dbo","fhp_pdv4_temp","dsc_enct_descs","Temp Storage table","Disclosing Entity Class Type","varchar"
"dbo","fhp_pdv4_temp","dsc_pced_id","Temp Storage table","Disclosing Covered Entity ID","varchar"
"dbo","fhp_pdv4_temp","dsc_pbed_id","Temp Storage table","Disclosing Business Entity Business Entity ID","varchar"
"dbo","fhp_pdv4_temp","dsc_pbed_pzcd_type","Temp Storage table","Disclosing Business Entity Type","char"
"dbo","fhp_pdv4_temp","dsc_enod_bname","Temp Storage table","Disclosing Entity Name","varchar"
"dbo","fhp_pdv4_temp","dsc_enod_descs","Temp Storage table","Disclosing Entity Description","varchar"
"dbo","fhp_pdv4_temp","dsc_enad_pzcd_type","Temp Storage table","Disclosing Entity Address Type","char"
"dbo","fhp_pdv4_temp","dsc_enem_pzcd_type","Temp Storage table","Disclosing Entity E-mail Type","char"
"dbo","fhp_pdv4_temp","dsc_enph_pzcd_type","Temp Storage table","Disclosing Entity Phone Type","char"
"dbo","fhp_pdv4_temp","pmdx_rcp_enen_cke","Temp Storage table","Recipient Contrived Key","int"
"dbo","fhp_pdv4_temp","pmdx_rcp_enen_ctyp","Temp Storage table","Recipient Contrived Key","char"
"dbo","fhp_pdv4_temp","rcp_enct_descs","Temp Storage table","Recipietn Entity Class Type","varchar"
"dbo","fhp_pdv4_temp","rcp_pbed_id","Temp Storage table","Recipient Business Entity ID","varchar"
"dbo","fhp_pdv4_temp","rcp_pbed_pzcd_type","Temp Storage table","Recipient Business Entity Type","char"
"dbo","fhp_pdv4_temp","rcp_pmed_id","Temp Storage table","Recipient Member ID","varchar"
"dbo","fhp_pdv4_temp","rcp_pmpr_id","Temp Storage table","Recipient Personal Representative ID","varchar"
"dbo","fhp_pdv4_temp","rcp_pdv4_lname","Temp Storage table","Recipient Last Name","varchar"
"dbo","fhp_pdv4_temp","rcp_pdv4_fname","Temp Storage table","Recipient First Name","varchar"
"dbo","fhp_pdv4_temp","rcp_pdv4_mid_init","Temp Storage table","Recipient Middle Initial","char"
"dbo","fhp_pdv4_temp","rcp_pdv4_dob_dt","Temp Storage table","Recipient Date of Birth","datetime"
"dbo","fhp_pdv4_temp","rcp_pdv4_gender_ind","Temp Storage table","Recipient Gender","char"
"dbo","fhp_pdv4_temp","rcp_pdv4_marital_ind","Temp Storage table","Recipient Marital Status","char"
"dbo","fhp_pdv4_temp","rcp_enod_bname","Temp Storage table","Recipient Business Entity Name","varchar"
"dbo","fhp_pdv4_temp","rcp_enod_descs","Temp Storage table","Recipient Business Entity Description","varchar"
"dbo","fhp_pdv4_temp","rcp_enad_pzcd_type","Temp Storage table","Recipient Address Type","char"
"dbo","fhp_pdv4_temp","rcp_enem_pzcd_type","Temp Storage table","Recipient E-mail Type","char"
"dbo","fhp_pdv4_temp","rcp_enph_pzcd_type","Temp Storage table","Recipient Phone Type","char"
"dbo","fhp_pdv4_temp","pmax_seq_no","Temp Storage table","Member Authorization Sequence Number","smallint"
"dbo","fhp_pdv4_temp","pmdx_desc","Temp Storage table","Disclosure Description","varchar"
"dbo","fhp_pdv4_temp","pmdx_create_dtm","Temp Storage table","Create Datetime","datetime"
"dbo","fhp_pdv4_temp","pmdx_reserved","Temp Storage table","Reserved","char"
"dbo","fhp_pdv4_temp","pmdx_last_usus_id","Temp Storage table","Last User ID","char"
"dbo","fhp_pdv4_temp","pmdx_last_upd_dtm","Temp Storage table","Last Update Datetime","datetime"
"dbo","fhp_pdv4_temp","pmdx_lock_token","Temp Storage table","Lock Token","smallint"
"dbo","fhp_pdv4_temp","atxr_source_id","Temp Storage table","Attachment Source Id","datetime"
"dbo","fhp_pdv4_temp","atad_name","Temp Storage table","Address attachment name","char"
"dbo","fhp_pdv4_temp","pdv4_spn_indb","Temp Storage table","Suspension Indicator","char"
