"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_pmds_record_x","pmed_cke","Designated Record Set Request","HIPAA Privacy Member Contrived Key","int"
"dbo","fhp_pmds_record_x","pmds_req_no","Designated Record Set Request","Designated Record Set Request Number","smallint"
"dbo","fhp_pmds_record_x","pmds_pzcd_rrsn","Designated Record Set Request","Request Reason","char"
"dbo","fhp_pmds_record_x","pmds_pzcd_mtyp","Designated Record Set Request","Request Method","char"
"dbo","fhp_pmds_record_x","pmds_pzcd_rtyp","Designated Record Set Request","Request Type","char"
"dbo","fhp_pmds_record_x","pmds_received_dt","Designated Record Set Request","Received Date","datetime"
"dbo","fhp_pmds_record_x","pmds_request_dt","Designated Record Set Request","Request Date","datetime"
"dbo","fhp_pmds_record_x","pmds_rqr_enen_cke","Designated Record Set Request","Requestor Entity Contrived Key","int"
"dbo","fhp_pmds_record_x","pmds_rqr_enen_ctyp","Designated Record Set Request","Requestor Entity Type","char"
"dbo","fhp_pmds_record_x","pmds_pzcd_sfmt","Designated Record Set Request","Format Supplied","char"
"dbo","fhp_pmds_record_x","pmds_pzcd_frsn","Designated Record Set Request","Format Reason","char"
"dbo","fhp_pmds_record_x","pmds_enroll_indb","Designated Record Set Request","Enrollment Information Indicator","char"
"dbo","fhp_pmds_record_x","pmds_claims_indb","Designated Record Set Request","Claims Information Indicator","char"
"dbo","fhp_pmds_record_x","pmds_payment_indb","Designated Record Set Request","Payment Information Indicator","char"
"dbo","fhp_pmds_record_x","pmds_medm_indb","Designated Record Set Request","Medical Management Information Indicator","char"
"dbo","fhp_pmds_record_x","pmds_addl_indb","Designated Record Set Request","Additional Information Indicator","char"
"dbo","fhp_pmds_record_x","pmds_req_fee_indb","Designated Record Set Request","Fee Applied Indicator","char"
"dbo","fhp_pmds_record_x","pmds_fee_amt","Designated Record Set Request","Fee Amount","money"
"dbo","fhp_pmds_record_x","ptst_pzcd_ttyp","Designated Record Set Request","Transaction Type","char"
"dbo","fhp_pmds_record_x","ptst_curr_seq_no","Designated Record Set Request","Status Row Sequence Number","smallint"
"dbo","fhp_pmds_record_x","ptst_curr_sts","Designated Record Set Request","Current Status","int"
"dbo","fhp_pmds_record_x","ptst_cur_pzcd_srsn","Designated Record Set Request","Status Reason","char"
"dbo","fhp_pmds_record_x","ptst_curr_sts_dtm","Designated Record Set Request","Status Date","datetime"
"dbo","fhp_pmds_record_x","pmds_desc","Designated Record Set Request","Designated Record Set Request Description","varchar"
"dbo","fhp_pmds_record_x","pmds_create_dtm","Designated Record Set Request","Record Create Date/time","datetime"
"dbo","fhp_pmds_record_x","pmds_reserved","Designated Record Set Request","Reserved","char"
"dbo","fhp_pmds_record_x","pmds_last_usus_id","Designated Record Set Request","Last User ID","char"
"dbo","fhp_pmds_record_x","pmds_last_upd_dtm","Designated Record Set Request","Last Update Date/time","datetime"
"dbo","fhp_pmds_record_x","pmds_lock_token","Designated Record Set Request","Lock Token","int"
"dbo","fhp_pmds_record_x","atxr_source_id","Designated Record Set Request","Attachment Source Id","datetime"
