"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_ptst_trans_sts","pmed_cke","Transaction Status Table","HIPAA Privacy Member Contrived Key","int"
"dbo","fhp_ptst_trans_sts","ptst_pzcd_ttyp","Transaction Status Table","Transaction Type","char"
"dbo","fhp_ptst_trans_sts","ptst_trans_req_no","Transaction Status Table","Status Request Number","smallint"
"dbo","fhp_ptst_trans_sts","ptst_seq_no","Transaction Status Table","Status Row Sequence Number","smallint"
"dbo","fhp_ptst_trans_sts","ptst_sts","Transaction Status Table","Status","int"
"dbo","fhp_ptst_trans_sts","ptst_sts_dtm","Transaction Status Table","Status Date","datetime"
"dbo","fhp_ptst_trans_sts","ptst_pzcd_srsn","Transaction Status Table","Status Reason","char"
"dbo","fhp_ptst_trans_sts","ptst_reserved","Transaction Status Table","Reserved","char"
"dbo","fhp_ptst_trans_sts","ptst_last_usus_id","Transaction Status Table","Last User ID","char"
"dbo","fhp_ptst_trans_sts","ptst_last_upd_dtm","Transaction Status Table","Last Update Date/time","datetime"
"dbo","fhp_ptst_trans_sts","ptst_lock_token","Transaction Status Table","Lock Token","smallint"
"dbo","fhp_ptst_trans_sts","atxr_source_id","Transaction Status Table","Attachment Source Id","datetime"
