"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_rlag_act_grp_d","rlag_id","Filter Rule Action Group","Action Group Identifier","char"
"dbo","fhp_rlag_act_grp_d","rlag_name","Filter Rule Action Group","Action Group Name","varchar"
"dbo","fhp_rlag_act_grp_d","rlag_pzcd_action","Filter Rule Action Group","Action Group Level","char"
"dbo","fhp_rlag_act_grp_d","rlag_deny_indb","Filter Rule Action Group","Action Group Deny Indicator","char"
"dbo","fhp_rlag_act_grp_d","rlag_descs","Filter Rule Action Group","Action Group Description","varchar"
"dbo","fhp_rlag_act_grp_d","rlag_reserved","Filter Rule Action Group","Reserved","char"
"dbo","fhp_rlag_act_grp_d","rlag_last_usus_id","Filter Rule Action Group","Last Update User ID","char"
"dbo","fhp_rlag_act_grp_d","rlag_last_upd_dtm","Filter Rule Action Group","Last Update Datetime","datetime"
"dbo","fhp_rlag_act_grp_d","rlag_lock_token","Filter Rule Action Group","Lock Token","smallint"
"dbo","fhp_rlag_act_grp_d","atxr_source_id","Filter Rule Action Group","Attachment Source Id","datetime"
