"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_rlcu_col_act_u","rlag_id","Filter Rule Column Usage","Action Group Identifier","char"
"dbo","fhp_rlcu_col_act_u","pzpz_id","Filter Rule Column Usage","Product ID","char"
"dbo","fhp_rlcu_col_act_u","pzap_app_id","Filter Rule Column Usage","Product Application ID","char"
"dbo","fhp_rlcu_col_act_u","rlcu_seq_no","Filter Rule Column Usage","Column Usage Sequence Number","smallint"
"dbo","fhp_rlcu_col_act_u","rlcu_replace_ind","Filter Rule Column Usage","Column Usage Replace Indicator","char"
"dbo","fhp_rlcu_col_act_u","rlcu_replace_value","Filter Rule Column Usage","Column Usage Replace Value","varchar"
"dbo","fhp_rlcu_col_act_u","rlcu_column_name","Filter Rule Column Usage","Column Usage Column Name","varchar"
"dbo","fhp_rlcu_col_act_u","rlcu_reserved","Filter Rule Column Usage","Reserved","char"
"dbo","fhp_rlcu_col_act_u","rlcu_last_usus_id","Filter Rule Column Usage","Last Update User ID","char"
"dbo","fhp_rlcu_col_act_u","rlcu_last_upd_dtm","Filter Rule Column Usage","Last Update Datetime","datetime"
"dbo","fhp_rlcu_col_act_u","rlcu_lock_token","Filter Rule Column Usage","Lock Token","smallint"
"dbo","fhp_rlcu_col_act_u","atxr_source_id","Filter Rule Column Usage","Attachment Source Id","datetime"
