"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhp_rlru_rule_u","rlru_row_id","Filter Rule Usage","Rule Usage Row ID","numeric"
"dbo","fhp_rlru_rule_u","pzpz_id","Filter Rule Usage","Product ID","char"
"dbo","fhp_rlru_rule_u","pzap_app_id","Filter Rule Usage","Product Application ID","char"
"dbo","fhp_rlru_rule_u","rlrl_id","Filter Rule Usage","Rule Identifier","char"
"dbo","fhp_rlru_rule_u","rlru_eff_dt","Filter Rule Usage","Rule Usage Effective Date","datetime"
"dbo","fhp_rlru_rule_u","rlru_term_dtm","Filter Rule Usage","Rule Usage Termination Date","datetime"
"dbo","fhp_rlru_rule_u","rlru_pzcd_trsn","Filter Rule Usage","Rule Usage Termination Reason","char"
"dbo","fhp_rlru_rule_u","rlru_create_dtm","Filter Rule Usage","Rule Usage Create Datetime","datetime"
"dbo","fhp_rlru_rule_u","rlru_reserved","Filter Rule Usage","Reserved","char"
"dbo","fhp_rlru_rule_u","rlru_last_usus_id","Filter Rule Usage","Last Update User ID","char"
"dbo","fhp_rlru_rule_u","rlru_last_upd_dtm","Filter Rule Usage","Last Update Datetime","datetime"
"dbo","fhp_rlru_rule_u","rlru_lock_token","Filter Rule Usage","Lock Token","smallint"
"dbo","fhp_rlru_rule_u","atxr_source_id","Filter Rule Usage","Attachment Source Id","datetime"
