"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_cbex_calc_excd","cbex_calc_bean","Calculation Bean Explanation Code Reference table","Calculation Bean Name","varchar"
"dbo","nwx_cbex_calc_excd","cbex_calc_type","Calculation Bean Explanation Code Reference table","Calculation Type","varchar"
"dbo","nwx_cbex_calc_excd","cbex_excd_id_1","Calculation Bean Explanation Code Reference table","Explanation Code-Primary","char"
"dbo","nwx_cbex_calc_excd","cbex_excd_id_2","Calculation Bean Explanation Code Reference table","Explanation Code- Secondary","char"
"dbo","nwx_cbex_calc_excd","cbex_alias","Calculation Bean Explanation Code Reference table","Calculation Alias","varchar"
"dbo","nwx_cbex_calc_excd","cbex_version_no","Calculation Bean Explanation Code Reference table","Version Number","varchar"
"dbo","nwx_cbex_calc_excd","cbex_create_by","Calculation Bean Explanation Code Reference table","Row Created By","char"
"dbo","nwx_cbex_calc_excd","cbex_create_dtm","Calculation Bean Explanation Code Reference table","Row Creation Date","datetime"
"dbo","nwx_cbex_calc_excd","cbex_modify_by","Calculation Bean Explanation Code Reference table","Last Modified By","char"
"dbo","nwx_cbex_calc_excd","cbex_modify_dtm","Calculation Bean Explanation Code Reference table","Last Modification Date","datetime"
"dbo","nwx_cbex_calc_excd","cbex_lock_token","Calculation Bean Explanation Code Reference table","Lock Token","smallint"
"dbo","nwx_cbex_calc_excd","atxr_source_id","Calculation Bean Explanation Code Reference table","Attachment Source Id","datetime"
"dbo","nwx_cbex_calc_excd","cbex_data1","Calculation Bean Explanation Code Reference table","Data Field 1","varchar"
"dbo","nwx_cbex_calc_excd","cbex_data2","Calculation Bean Explanation Code Reference table","Data Field 2","varchar"
"dbo","nwx_cbex_calc_excd","cbex_date1","Calculation Bean Explanation Code Reference table","Date Field 1","datetime"
"dbo","nwx_cbex_calc_excd","cbex_num1","Calculation Bean Explanation Code Reference table","Number Field 1","numeric"
"dbo","nwx_cbex_calc_excd","cbex_num2","Calculation Bean Explanation Code Reference table","Number Field 2","numeric"
