"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_lcsv_sch_value","lcsv_table_name","Vision Lab Chargeback Schedule Value","Table Name","varchar"
"dbo","nwx_lcsv_sch_value","lcsv_schedule_type","Vision Lab Chargeback Schedule Value","Schedule Type","varchar"
"dbo","nwx_lcsv_sch_value","lcsv_pricing_code","Vision Lab Chargeback Schedule Value","Pricing Code","varchar"
"dbo","nwx_lcsv_sch_value","lcsv_pricing_type","Vision Lab Chargeback Schedule Value","Pricing Type","char"
"dbo","nwx_lcsv_sch_value","lcsv_eff_dt","Vision Lab Chargeback Schedule Value","Effective Date","datetime"
"dbo","nwx_lcsv_sch_value","lcsv_term_dt","Vision Lab Chargeback Schedule Value","Termination Date","datetime"
"dbo","nwx_lcsv_sch_value","lcsv_pct","Vision Lab Chargeback Schedule Value","Percentage","numeric"
"dbo","nwx_lcsv_sch_value","lcsv_calculation_mth","Vision Lab Chargeback Schedule Value","Value of schedule amount","char"
"dbo","nwx_lcsv_sch_value","lcsv_rate","Vision Lab Chargeback Schedule Value","Rate Amount","numeric"
"dbo","nwx_lcsv_sch_value","lcsv_create_by","Vision Lab Chargeback Schedule Value","Created By","varchar"
"dbo","nwx_lcsv_sch_value","lcsv_create_dtm","Vision Lab Chargeback Schedule Value","Created Date Time","datetime"
"dbo","nwx_lcsv_sch_value","lcsv_modify_by","Vision Lab Chargeback Schedule Value","Modified By","varchar"
"dbo","nwx_lcsv_sch_value","lcsv_modify_dtm","Vision Lab Chargeback Schedule Value","Modified Date","datetime"
