"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_napw_apc_wgt","napw_apc_number","Ambulatory Payment Classification Weight table","Ambulatory Payment Classifications Number","int"
"dbo","nwx_napw_apc_wgt","napw_desc","Ambulatory Payment Classification Weight table","APC Description","varchar"
"dbo","nwx_napw_apc_wgt","napw_status_ind","Ambulatory Payment Classification Weight table","Status Indicator","char"
"dbo","nwx_napw_apc_wgt","napw_relative_wgt","Ambulatory Payment Classification Weight table","APC Relative Weight","numeric"
"dbo","nwx_napw_apc_wgt","napw_payment_rate","Ambulatory Payment Classification Weight table","APC Payment Rate","numeric"
"dbo","nwx_napw_apc_wgt","napw_year_applied","Ambulatory Payment Classification Weight table","Code set publish year","int"
"dbo","nwx_napw_apc_wgt","napw_eff_dt","Ambulatory Payment Classification Weight table","Effective Date","datetime"
"dbo","nwx_napw_apc_wgt","napw_term_dt","Ambulatory Payment Classification Weight table","Termination Date","datetime"
"dbo","nwx_napw_apc_wgt","atxr_source_id","Ambulatory Payment Classification Weight table","Attachment Source Id","datetime"
"dbo","nwx_napw_apc_wgt","napw_lock_token","Ambulatory Payment Classification Weight table","Lock Token","smallint"
"dbo","nwx_napw_apc_wgt","ncst_source_type","Ambulatory Payment Classification Weight table","Source of Data Type Code","varchar"
"dbo","nwx_napw_apc_wgt","napw_user_defined","Ambulatory Payment Classification Weight table","Not currently implemented","char"
"dbo","nwx_napw_apc_wgt","napw_create_dtm","Ambulatory Payment Classification Weight table","Creation Date Time","datetime"
"dbo","nwx_napw_apc_wgt","napw_modify_dtm","Ambulatory Payment Classification Weight table","Last Modified Date Time","datetime"
"dbo","nwx_napw_apc_wgt","napw_create_by","Ambulatory Payment Classification Weight table","Created By","char"
"dbo","nwx_napw_apc_wgt","napw_modify_by","Ambulatory Payment Classification Weight table","Last Modified By","char"
