"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nasu_asa_units","nasu_asa_code","Base Rate Units Data","Anesthesia Code","varchar"
"dbo","nwx_nasu_asa_units","nasu_conv_ind","Base Rate Units Data","Conversion Indicator","varchar"
"dbo","nwx_nasu_asa_units","nasu_eff_dt","Base Rate Units Data","Effective Date","datetime"
"dbo","nwx_nasu_asa_units","nasu_term_dt","Base Rate Units Data","Termination Date","datetime"
"dbo","nwx_nasu_asa_units","nasu_base_unit","Base Rate Units Data","Base Rate Units","numeric"
"dbo","nwx_nasu_asa_units","nasu_id","Base Rate Units Data","Identity Column","numeric"
"dbo","nwx_nasu_asa_units","nasu_create_by","Base Rate Units Data","Created By","varchar"
"dbo","nwx_nasu_asa_units","nasu_create_dtm","Base Rate Units Data","Created Date time","datetime"
"dbo","nwx_nasu_asa_units","nasu_modify_by","Base Rate Units Data","Modified By","varchar"
"dbo","nwx_nasu_asa_units","nasu_modify_dtm","Base Rate Units Data","Modified Date Time","datetime"
"dbo","nwx_nasu_asa_units","nasu_lock_token","Base Rate Units Data","Lock Token","smallint"
