"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_ncct_calc_catg","ncct_category_id","Calculation Category table","Calculation Category internal key","int"
"dbo","nwx_ncct_calc_catg","ncct_category_desc","Calculation Category table","Calculation Category description","varchar"
"dbo","nwx_ncct_calc_catg","ncct_create_by","Calculation Category table","Row Created By","char"
"dbo","nwx_ncct_calc_catg","ncct_create_dtm","Calculation Category table","Row Creation Date","datetime"
"dbo","nwx_ncct_calc_catg","ncct_modify_by","Calculation Category table","Last Modified By","char"
"dbo","nwx_ncct_calc_catg","ncct_modify_dtm","Calculation Category table","Last Modification Date","datetime"
"dbo","nwx_ncct_calc_catg","atxr_source_id","Calculation Category table","Attachment Source Id","datetime"
"dbo","nwx_ncct_calc_catg","ncct_lock_token","Calculation Category table","Lock Token","smallint"
"dbo","nwx_ncct_calc_catg","ncct_owner_id","Calculation Category table","Not Currently implemented","int"
"dbo","nwx_ncct_calc_catg","ncct_category_type","Calculation Category table","Calculation Category Type","char"
