"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_ncgp_cd_group","ncgp_code_group_id","Qualifier Group table","Qualifier Group internal key","int"
"dbo","nwx_ncgp_cd_group","ncgp_code_grp_name","Qualifier Group table","Qualifier Group description","varchar"
"dbo","nwx_ncgp_cd_group","ncgp_qualifier_tp","Qualifier Group table","Qualifier Type","int"
"dbo","nwx_ncgp_cd_group","ncgp_create_by","Qualifier Group table","Row Created By","char"
"dbo","nwx_ncgp_cd_group","ncgp_create_dtm","Qualifier Group table","Row Creation Date","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_modify_by","Qualifier Group table","Last Modified By","char"
"dbo","nwx_ncgp_cd_group","ncgp_modify_dtm","Qualifier Group table","Last Modification Date","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_eff_dt","Qualifier Group table","Qualifier Group effective date","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_term_dt","Qualifier Group table","Qualifier Group termination date","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_qual_proc_tp","Qualifier Group table","Qualifier And/Or logic indicator","int"
"dbo","nwx_ncgp_cd_group","atxr_source_id","Qualifier Group table","Attachment Source Id","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_lock_token","Qualifier Group table","Lock Token","smallint"
"dbo","nwx_ncgp_cd_group","ncgp_src_mod_dtm","Qualifier Group table","Trans application source system last mod date for trans item","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_src_cg_id","Qualifier Group table","Trans application source systems qualifier type ID for trans item","int"
"dbo","nwx_ncgp_cd_group","ncgp_src_schema","Qualifier Group table","Trans application source database schema for trans item","varchar"
"dbo","nwx_ncgp_cd_group","ncgp_src_sys","Qualifier Group table","Transfer application source system for transferred item","varchar"
"dbo","nwx_ncgp_cd_group","ncgp_owner_id","Qualifier Group table","Not currently implemented","int"
"dbo","nwx_ncgp_cd_group","ncgp_same_line_flg","Qualifier Group table","Same Line Only","int"
"dbo","nwx_ncgp_cd_group","wmgt_msg_type","Qualifier Group table","Message Type","int"
"dbo","nwx_ncgp_cd_group","ncgp_imported_date","Qualifier Group table","Import Date","datetime"
"dbo","nwx_ncgp_cd_group","ncgp_code_grp_type","Qualifier Group table","Qualifier Group Type","char"
"dbo","nwx_ncgp_cd_group","ncgp_version","Qualifier Group table","Version Number","varchar"
"dbo","nwx_ncgp_cd_group","ncgp_locked","Qualifier Group table","Locked","varchar"
