"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_ncgv_cd_value","ncgp_code_group_id","Qualifier Group Values table","Qualifier Group Internal key","int"
"dbo","nwx_ncgv_cd_value","ncgv_seq_no","Qualifier Group Values table","Qualifier Value sequential number","int"
"dbo","nwx_ncgv_cd_value","ncgv_code_tp_low","Qualifier Group Values table","Qualifier Value low value","varchar"
"dbo","nwx_ncgv_cd_value","ncgv_code_tp_high","Qualifier Group Values table","Qualifier Value high value","varchar"
"dbo","nwx_ncgv_cd_value","ncgv_create_by","Qualifier Group Values table","Row Created By","char"
"dbo","nwx_ncgv_cd_value","ncgv_create_dtm","Qualifier Group Values table","Row Creation Date","datetime"
"dbo","nwx_ncgv_cd_value","ncgv_modify_by","Qualifier Group Values table","Last Modified By","char"
"dbo","nwx_ncgv_cd_value","ncgv_modify_dtm","Qualifier Group Values table","Last Modification Date","datetime"
"dbo","nwx_ncgv_cd_value","ncgv_code_tp_bean","Qualifier Group Values table","Qualifier Value bean name","varchar"
"dbo","nwx_ncgv_cd_value","ncgv_eff_dt","Qualifier Group Values table","Qualifier Value effective date","datetime"
"dbo","nwx_ncgv_cd_value","ncgv_term_dt","Qualifier Group Values table","Qualifier Value termination date","datetime"
"dbo","nwx_ncgv_cd_value","atxr_source_id","Qualifier Group Values table","Attachment Source Id","datetime"
"dbo","nwx_ncgv_cd_value","ncgv_lock_token","Qualifier Group Values table","Lock Token","smallint"
"dbo","nwx_ncgv_cd_value","ncgv_owner_id","Qualifier Group Values table","Not currently implemented","int"
"dbo","nwx_ncgv_cd_value","ncgv_low_display","Qualifier Group Values table","Low Value Display","varchar"
"dbo","nwx_ncgv_cd_value","ncgv_high_display","Qualifier Group Values table","High Value Display","varchar"
"dbo","nwx_ncgv_cd_value","ncgv_operand_type","Qualifier Group Values table","Workflow Qualifier Operand Type","int"
"dbo","nwx_ncgv_cd_value","ncgv_not_logic_ind","Qualifier Group Values table","","smallint"
"dbo","nwx_ncgv_cd_value","ncgp_nest_code_group_id","Qualifier Group Values table","Nested Qualifier Group ID","int"
