"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_ndrp_perdiem","ndrp_drg_id","Store Per Diem Rate","DRG Perdiem ID","numeric"
"dbo","nwx_ndrp_perdiem","ndrp_owner_id","Store Per Diem Rate","Owner ID","int"
"dbo","nwx_ndrp_perdiem","ndrp_drg","Store Per Diem Rate","DRG Value","varchar"
"dbo","nwx_ndrp_perdiem","ndrp_eff_dt","Store Per Diem Rate","DRG Effective Date","datetime"
"dbo","nwx_ndrp_perdiem","ndrp_term_dt","Store Per Diem Rate","DRG Termination Date","datetime"
"dbo","nwx_ndrp_perdiem","ndrp_year_appl","Store Per Diem Rate","Year Applied","varchar"
"dbo","nwx_ndrp_perdiem","ndrp_source_type","Store Per Diem Rate","Source type of the DRG","varchar"
"dbo","nwx_ndrp_perdiem","ndrp_pd_rate1","Store Per Diem Rate","Per diem rate 1","numeric"
"dbo","nwx_ndrp_perdiem","ndrp_pd_rate2","Store Per Diem Rate","Per diem rate 2","numeric"
"dbo","nwx_ndrp_perdiem","ndrp_pd_rate3","Store Per Diem Rate","Per diem rate 3","numeric"
"dbo","nwx_ndrp_perdiem","ndrp_create_by","Store Per Diem Rate","Created by","varchar"
"dbo","nwx_ndrp_perdiem","ndrp_modify_by","Store Per Diem Rate","Modifed by","varchar"
"dbo","nwx_ndrp_perdiem","ndrp_create_dtm","Store Per Diem Rate","Created date","datetime"
"dbo","nwx_ndrp_perdiem","ndrp_modify_dtm","Store Per Diem Rate","Last Modification Date","datetime"
