"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nmcl_medicare_clab","nmcl_procedure_cd","Medicare Clinical Lab Table","Procedure Code","varchar"
"dbo","nwx_nmcl_medicare_clab","nmcl_modifier","Medicare Clinical Lab Table","Modifier","varchar"
"dbo","nwx_nmcl_medicare_clab","nmcl_carrier","Medicare Clinical Lab Table","Carrier","varchar"
"dbo","nwx_nmcl_medicare_clab","nmcl_locality","Medicare Clinical Lab Table","Locality","varchar"
"dbo","nwx_nmcl_medicare_clab","nmcl_eff_dt","Medicare Clinical Lab Table","Effective Date","datetime"
"dbo","nwx_nmcl_medicare_clab","nmcl_term_dt","Medicare Clinical Lab Table","Termination Date","datetime"
"dbo","nwx_nmcl_medicare_clab","nmcl_60percent_amt","Medicare Clinical Lab Table","60% Pricing Amount","numeric"
"dbo","nwx_nmcl_medicare_clab","nmcl_62percent_amt","Medicare Clinical Lab Table","62% Pricing Amount","numeric"
"dbo","nwx_nmcl_medicare_clab","nmcl_create_dt","Medicare Clinical Lab Table","Creation Date","datetime"
"dbo","nwx_nmcl_medicare_clab","nmcl_create_by","Medicare Clinical Lab Table","Created By","varchar"
"dbo","nwx_nmcl_medicare_clab","nmcl_modify_dt","Medicare Clinical Lab Table","Modification Date","datetime"
"dbo","nwx_nmcl_medicare_clab","nmcl_modify_by","Medicare Clinical Lab Table","Modified By","varchar"
