"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nndc_ndc_rule","pdpd_id","NDC Service Rule","Product ID","char"
"dbo","nwx_nndc_ndc_rule","sese_id","NDC Service Rule","Service ID","char"
"dbo","nwx_nndc_ndc_rule","nndc_eff_dt","NDC Service Rule","Effective Date","datetime"
"dbo","nwx_nndc_ndc_rule","nndc_term_dt","NDC Service Rule","Termination Date","datetime"
"dbo","nwx_nndc_ndc_rule","nndc_sese_bs_rule","NDC Service Rule","Brand Service Rule","char"
"dbo","nwx_nndc_ndc_rule","nndc_sese_gs_rule","NDC Service Rule","Generic Service Rule","char"
"dbo","nwx_nndc_ndc_rule","nndc_lock_token","NDC Service Rule","Lock Token","smallint"
"dbo","nwx_nndc_ndc_rule","atxr_source_id","NDC Service Rule","Attachment Source Id","datetime"
"dbo","nwx_nndc_ndc_rule","nndc_create_dtm","NDC Service Rule","Creation Date Time","datetime"
"dbo","nwx_nndc_ndc_rule","nndc_modify_dtm","NDC Service Rule","Last Modified Date Time","datetime"
"dbo","nwx_nndc_ndc_rule","nndc_create_by","NDC Service Rule","Created By","char"
"dbo","nwx_nndc_ndc_rule","nndc_modify_by","NDC Service Rule","Last Modified By","char"
