"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nprd_provider_date","nprd_provider_date_id","Provider ID/Effective Period","Provider Date cross reference internal key","numeric"
"dbo","nwx_nprd_provider_date","nprd_owner_id","Provider ID/Effective Period","Owner ID","int"
"dbo","nwx_nprd_provider_date","nprd_provider_id","Provider ID/Effective Period","Provider ID","varchar"
"dbo","nwx_nprd_provider_date","nprd_effective_date","Provider ID/Effective Period","Effective Date","datetime"
"dbo","nwx_nprd_provider_date","nprd_termination_date","Provider ID/Effective Period","Termination Date","datetime"
"dbo","nwx_nprd_provider_date","nprd_year_applied","Provider ID/Effective Period","NPRD_YEAR_APPLIED","int"
"dbo","nwx_nprd_provider_date","nprd_create_dtm","Provider ID/Effective Period","Creation Date Time","datetime"
"dbo","nwx_nprd_provider_date","nprd_modify_dtm","Provider ID/Effective Period","Last Modified Date Time","datetime"
"dbo","nwx_nprd_provider_date","nprd_create_by","Provider ID/Effective Period","Created by","varchar"
"dbo","nwx_nprd_provider_date","nprd_modify_by","Provider ID/Effective Period","Last Modified By","varchar"
"dbo","nwx_nprd_provider_date","nprd_imported_date","Provider ID/Effective Period","Imported Date Time","datetime"
"dbo","nwx_nprd_provider_date","nprd_version","Provider ID/Effective Period","Version Number","varchar"
"dbo","nwx_nprd_provider_date","nprd_locked","Provider ID/Effective Period","Locked","varchar"
