"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrbn_rbrv_nat","nrbn_year_applied","RBRVS National Conversion Factor table","Code set publish year","char"
"dbo","nwx_nrbn_rbrv_nat","ncst_source_type","RBRVS National Conversion Factor table","Source of Data Type Code","varchar"
"dbo","nwx_nrbn_rbrv_nat","nrbn_eff_dt","RBRVS National Conversion Factor table","Effective Date","datetime"
"dbo","nwx_nrbn_rbrv_nat","nrbn_update_ind","RBRVS National Conversion Factor table","Update Indicator","char"
"dbo","nwx_nrbn_rbrv_nat","nrbn_nat_conv_fct","RBRVS National Conversion Factor table","National Conversion Factor","numeric"
"dbo","nwx_nrbn_rbrv_nat","nrbn_term_dt","RBRVS National Conversion Factor table","Termination Date","datetime"
"dbo","nwx_nrbn_rbrv_nat","nrbn_create_by","RBRVS National Conversion Factor table","Row Created By","char"
"dbo","nwx_nrbn_rbrv_nat","nrbn_create_dtm","RBRVS National Conversion Factor table","Row Creation Date","datetime"
"dbo","nwx_nrbn_rbrv_nat","nrbn_modify_by","RBRVS National Conversion Factor table","Last Modified By","char"
"dbo","nwx_nrbn_rbrv_nat","nrbn_modify_dtm","RBRVS National Conversion Factor table","Last Modification Date","datetime"
"dbo","nwx_nrbn_rbrv_nat","atrx_source_id","RBRVS National Conversion Factor table","Attachment Source ID","datetime"
"dbo","nwx_nrbn_rbrv_nat","nrbn_lock_token","RBRVS National Conversion Factor table","Lock Token","smallint"
