"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrcg_rc_geo","nrcg_geo_zip_area","R&C (Ingenix/MDR) Geographic Area table","Geographic Zip Area Code","char"
"dbo","nwx_nrcg_rc_geo","nrcg_conv_fact_id","R&C (Ingenix/MDR) Geographic Area table","Conversion Factor ID","char"
"dbo","nwx_nrcg_rc_geo","nrcg_proc_low","R&C (Ingenix/MDR) Geographic Area table","Procedure Code Begin","char"
"dbo","nwx_nrcg_rc_geo","nrcg_eff_dt","R&C (Ingenix/MDR) Geographic Area table","Effective Date","datetime"
"dbo","nwx_nrcg_rc_geo","nrcg_proc_high","R&C (Ingenix/MDR) Geographic Area table","Procedure Code End","char"
"dbo","nwx_nrcg_rc_geo","nrcg_term_dt","R&C (Ingenix/MDR) Geographic Area table","Termination Date","datetime"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_25","R&C (Ingenix/MDR) Geographic Area table","25th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_30","R&C (Ingenix/MDR) Geographic Area table","30th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_40","R&C (Ingenix/MDR) Geographic Area table","40th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_50","R&C (Ingenix/MDR) Geographic Area table","50th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_60","R&C (Ingenix/MDR) Geographic Area table","60th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_70","R&C (Ingenix/MDR) Geographic Area table","70th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_75","R&C (Ingenix/MDR) Geographic Area table","75th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_80","R&C (Ingenix/MDR) Geographic Area table","80th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_85","R&C (Ingenix/MDR) Geographic Area table","85th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_90","R&C (Ingenix/MDR) Geographic Area table","90th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_pct_95","R&C (Ingenix/MDR) Geographic Area table","95th Percentile Amount","numeric"
"dbo","nwx_nrcg_rc_geo","nrcg_create_by","R&C (Ingenix/MDR) Geographic Area table","Row Created By","char"
"dbo","nwx_nrcg_rc_geo","nrcg_create_dtm","R&C (Ingenix/MDR) Geographic Area table","Row Creation Date","datetime"
"dbo","nwx_nrcg_rc_geo","nrcg_modify_by","R&C (Ingenix/MDR) Geographic Area table","Last Modified By","char"
"dbo","nwx_nrcg_rc_geo","nrcg_modify_dtm","R&C (Ingenix/MDR) Geographic Area table","Last Modification Date","datetime"
"dbo","nwx_nrcg_rc_geo","atrx_source_id","R&C (Ingenix/MDR) Geographic Area table","Attachment Source ID","datetime"
"dbo","nwx_nrcg_rc_geo","nrcg_lock_token","R&C (Ingenix/MDR) Geographic Area table","Lock Token","smallint"
"dbo","nwx_nrcg_rc_geo","ncst_source_type","R&C (Ingenix/MDR) Geographic Area table","Source of Data Type Code","varchar"
