"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrsc_rs_sect","nrsc_section_id","Contract Terms Sections definition table","Section internal key","int"
"dbo","nwx_nrsc_rs_sect","nrsc_section_type","Contract Terms Sections definition table","Section Type code","int"
"dbo","nwx_nrsc_rs_sect","nrsc_service_type","Contract Terms Sections definition table","Service Type Code","int"
"dbo","nwx_nrsc_rs_sect","nrsc_desc","Contract Terms Sections definition table","Section Description","varchar"
"dbo","nwx_nrsc_rs_sect","nrsc_create_by","Contract Terms Sections definition table","Row Created By","char"
"dbo","nwx_nrsc_rs_sect","nrsc_create_dtm","Contract Terms Sections definition table","Row Creation Date","datetime"
"dbo","nwx_nrsc_rs_sect","nrsc_modify_by","Contract Terms Sections definition table","Last Modified By","char"
"dbo","nwx_nrsc_rs_sect","nrsc_modify_dtm","Contract Terms Sections definition table","Last Modification Date","datetime"
"dbo","nwx_nrsc_rs_sect","atxr_source_id","Contract Terms Sections definition table","Attachment Source Id","datetime"
"dbo","nwx_nrsc_rs_sect","nrsc_lock_token","Contract Terms Sections definition table","Lock Token","smallint"
