"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrsh_rate_sht_history","nrsh_new_rate_sht_id","NetworX RateSheet History","New RateSheet Id","int"
"dbo","nwx_nrsh_rate_sht_history","nrsh_orig_rate_sht_id","NetworX RateSheet History","The original RateSheet Id","int"
"dbo","nwx_nrsh_rate_sht_history","nrsh_rate_sht_cd","NetworX RateSheet History","RateSheet Code","varchar"
"dbo","nwx_nrsh_rate_sht_history","nrsh_rate_sht_desc","NetworX RateSheet History","RateSheet Description","varchar"
"dbo","nwx_nrsh_rate_sht_history","nrsh_sub_rs_ind","NetworX RateSheet History","Sub RateSheet Indicator","int"
"dbo","nwx_nrsh_rate_sht_history","nrsh_eff_dt","NetworX RateSheet History","Effective Date","datetime"
"dbo","nwx_nrsh_rate_sht_history","nrsh_term_dt","NetworX RateSheet History","Termination Date","datetime"
"dbo","nwx_nrsh_rate_sht_history","nrsh_create_by","NetworX RateSheet History","Created By","char"
"dbo","nwx_nrsh_rate_sht_history","nrsh_create_dtm","NetworX RateSheet History","Creation Date","datetime"
"dbo","nwx_nrsh_rate_sht_history","nrsh_modify_by","NetworX RateSheet History","Modified By","char"
"dbo","nwx_nrsh_rate_sht_history","nrsh_modify_dtm","NetworX RateSheet History","Modification Date","datetime"
"dbo","nwx_nrsh_rate_sht_history","nrsh_version","NetworX RateSheet History","Version Number","varchar"
"dbo","nwx_nrsh_rate_sht_history","nrsh_locked","NetworX RateSheet History","Locked","varchar"
"dbo","nwx_nrsh_rate_sht_history","nrsh_global_agreement_ind","NetworX RateSheet History","Medical Global Agreement Inidcator","smallint"
