"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrth_rs_terms_history","nrsh_orig_rate_sht_id","NetworX RateSheet Terms History","Original RateSheet Id","int"
"dbo","nwx_nrth_rs_terms_history","nrth_orig_rs_term_id","NetworX RateSheet Terms History","Original RateSheet Term Id","int"
"dbo","nwx_nrth_rs_terms_history","nrth_disp_sect_no","NetworX RateSheet Terms History","Display Section Number","int"
"dbo","nwx_nrth_rs_terms_history","nrth_seq_no","NetworX RateSheet Terms History","Sequence Number","int"
"dbo","nwx_nrth_rs_terms_history","nrth_eff_dt","NetworX RateSheet Terms History","Effective Date","datetime"
"dbo","nwx_nrth_rs_terms_history","nrth_term_dt","NetworX RateSheet Terms History","Termination Date","datetime"
"dbo","nwx_nrth_rs_terms_history","nrth_comments","NetworX RateSheet Terms History","Comments","varchar"
"dbo","nwx_nrth_rs_terms_history","nrth_term_desc","NetworX RateSheet Terms History","Term Description","varchar"
"dbo","nwx_nrth_rs_terms_history","nrth_qual_desc","NetworX RateSheet Terms History","Qualification Description","varchar"
"dbo","nwx_nrth_rs_terms_history","nrth_pricing_mode","NetworX RateSheet Terms History","Pricing Mode","int"
"dbo","nwx_nrth_rs_terms_history","nrth_rate_select","NetworX RateSheet Terms History","Rate Selection","int"
"dbo","nwx_nrth_rs_terms_history","nrth_section_type","NetworX RateSheet Terms History","RateSheet Section Type","int"
"dbo","nwx_nrth_rs_terms_history","nrth_sub_rs_id","NetworX RateSheet Terms History","Sub RateSheet Id","int"
"dbo","nwx_nrth_rs_terms_history","nrth_term_type","NetworX RateSheet Terms History","Term Type","int"
"dbo","nwx_nrth_rs_terms_history","nrth_excd_id","NetworX RateSheet Terms History","Explanation Code","varchar"
"dbo","nwx_nrth_rs_terms_history","nrth_disabled","NetworX RateSheet Terms History","Disabled","int"
"dbo","nwx_nrth_rs_terms_history","nrth_wmds_seq_no","NetworX RateSheet Terms History","Warning Message Code","smallint"
"dbo","nwx_nrth_rs_terms_history","nrth_create_by","NetworX RateSheet Terms History","Created By","char"
"dbo","nwx_nrth_rs_terms_history","nrth_create_dtm","NetworX RateSheet Terms History","Creation Date","datetime"
"dbo","nwx_nrth_rs_terms_history","nrth_modify_by","NetworX RateSheet Terms History","Modified By","char"
"dbo","nwx_nrth_rs_terms_history","nrth_modify_dtm","NetworX RateSheet Terms History","Modification Date","datetime"
"dbo","nwx_nrth_rs_terms_history","nrth_term_category_id","NetworX RateSheet Terms History","Ratesheet Term Category ID","varchar"
"dbo","nwx_nrth_rs_terms_history","nrth_global_agreement_ind","NetworX RateSheet Terms History","Medical Global Agreement Indicator","smallint"
"dbo","nwx_nrth_rs_terms_history","nrth_global_agreement_id","NetworX RateSheet Terms History","Medical Global Agreement ID","varchar"
