"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nrtn_term_note","nsrs_rate_sht_id","Contract Terms Term Notes table","Agreement ID internal key","int"
"dbo","nwx_nrtn_term_note","nrst_rs_term_id","Contract Terms Term Notes table","Contract Term internal key","int"
"dbo","nwx_nrtn_term_note","nrtn_note_text","Contract Terms Term Notes table","Note","varchar"
"dbo","nwx_nrtn_term_note","nrtn_create_by","Contract Terms Term Notes table","Row Created By","varchar"
"dbo","nwx_nrtn_term_note","nrtn_create_dtm","Contract Terms Term Notes table","Row Creation Date","datetime"
"dbo","nwx_nrtn_term_note","nrtn_note_no","Contract Terms Term Notes table","Continuation Note number","int"
"dbo","nwx_nrtn_term_note","nrtn_note_part_no","Contract Terms Term Notes table","Continuation note Part","int"
"dbo","nwx_nrtn_term_note","atxr_source_id","Contract Terms Term Notes table","Attachment Source Id","datetime"
"dbo","nwx_nrtn_term_note","nrtn_lock_token","Contract Terms Term Notes table","Lock Token","smallint"
"dbo","nwx_nrtn_term_note","nrtn_src_rs_term_id","Contract Terms Term Notes table","Trans application source systems contract terms ID for trans item","int"
"dbo","nwx_nrtn_term_note","nrst_term_seq_no","Contract Terms Term Notes table","Term Note Sequence Number","int"
