"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nshc_schedules","nshc_schedule_id","Schedule Processing table","Schedule Internal Key","int"
"dbo","nwx_nshc_schedules","nshc_schedule_code","Schedule Processing table","Schedule Code","varchar"
"dbo","nwx_nshc_schedules","nshc_desc","Schedule Processing table","Schedule Description","varchar"
"dbo","nwx_nshc_schedules","nshc_base_table","Schedule Processing table","Base Table Name","varchar"
"dbo","nwx_nshc_schedules","nshc_excp_table","Schedule Processing table","Exception Table Name","varchar"
"dbo","nwx_nshc_schedules","nshc_eff_dt","Schedule Processing table","Effective Date","datetime"
"dbo","nwx_nshc_schedules","nshc_term_dt","Schedule Processing table","Termination Date","datetime"
"dbo","nwx_nshc_schedules","nshc_def_med_pct","Schedule Processing table","Default Medical Percentage","numeric"
"dbo","nwx_nshc_schedules","nshc_def_pc_pct","Schedule Processing table","Default Professional Component Percentage","numeric"
"dbo","nwx_nshc_schedules","nshc_create_by","Schedule Processing table","Row Created By","char"
"dbo","nwx_nshc_schedules","nshc_def_anes_pct","Schedule Processing table","Default Anesthesia Percentage","numeric"
"dbo","nwx_nshc_schedules","nshc_create_dtm","Schedule Processing table","Row Creation Date","datetime"
"dbo","nwx_nshc_schedules","nshc_modify_by","Schedule Processing table","Last Modified By","char"
"dbo","nwx_nshc_schedules","nshc_def_tc_pct","Schedule Processing table","Default Technical Component Percentage","numeric"
"dbo","nwx_nshc_schedules","nshc_modify_dt","Schedule Processing table","Last Modification Date","datetime"
"dbo","nwx_nshc_schedules","nshc_geo_src_tp","Schedule Processing table","Geographic Area Source Type Code","char"
"dbo","nwx_nshc_schedules","nshc_source_pct","Schedule Processing table","MDR Source Percentile to Utilize","int"
"dbo","nwx_nshc_schedules","nshc_pct_schedule","Schedule Processing table","Percent of Schedule","numeric"
"dbo","nwx_nshc_schedules","nshc_zip_opt","Schedule Processing table","Price Area Option","varchar"
"dbo","nwx_nshc_schedules","nshc_active_ind","Schedule Processing table","Active Indicator","int"
"dbo","nwx_nshc_schedules","nshc_rvu_src_tp","Schedule Processing table","RVU Source Type Code","char"
"dbo","nwx_nshc_schedules","nshc_gpci_src_tp","Schedule Processing table","GPCI Source Type Code","char"
"dbo","nwx_nshc_schedules","nshc_zip_src_tp","Schedule Processing table","ZIP Source Type Code","char"
"dbo","nwx_nshc_schedules","nshc_year_opt","Schedule Processing table","Source Year","char"
"dbo","nwx_nshc_schedules","nshc_conv_src_tp","Schedule Processing table","Conversion Source Type Code","char"
"dbo","nwx_nshc_schedules","atrx_source_id","Schedule Processing table","Attachment Source ID","datetime"
"dbo","nwx_nshc_schedules","nshc_lock_token","Schedule Processing table","Lock Token","smallint"
"dbo","nwx_nshc_schedules","nsct_schedule_type","Schedule Processing table","Schedule Type Code","varchar"
"dbo","nwx_nshc_schedules","nshc_sched_code_up","Schedule Processing table","Schedule Code converted to upper case for search","varchar"
"dbo","nwx_nshc_schedules","nshc_desc_up","Schedule Processing table","Schedule Description converted to upper case for search","varchar"
"dbo","nwx_nshc_schedules","nshc_location","Schedule Processing table","Schedule Location","varchar"
"dbo","nwx_nshc_schedules","nshc_proftechfrombase","Schedule Processing table","Usage Indicator for professional and technical component allowed","varchar"
"dbo","nwx_nshc_schedules","nshc_supp_pct_allowed","Schedule Processing table","supplemental percent allowed option on Schedule's UI","varchar"
"dbo","nwx_nshc_schedules","nshc_pricing_type","Schedule Processing table","Pricing Type","varchar"
"dbo","nwx_nshc_schedules","nshc_action_parm1","Schedule Processing table","Action Parameter","varchar"
"dbo","nwx_nshc_schedules","nshc_action_parm2","Schedule Processing table","Action Parameter","varchar"
"dbo","nwx_nshc_schedules","nshc_zip_code_option","Schedule Processing table","9 or 5 digit zip indicator","varchar"
"dbo","nwx_nshc_schedules","nshc_version","Schedule Processing table","Version","varchar"
"dbo","nwx_nshc_schedules","nshc_owner_id","Schedule Processing table","Security Owner ID","int"
"dbo","nwx_nshc_schedules","nshc_locked","Schedule Processing table","Lock Flag","char"
"dbo","nwx_nshc_schedules","nshc_mod_order","Schedule Processing table","Modifier Order","smallint"
