"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_nsvv_sch_value","nsvv_table_name","Vision Schedule Value","Table Name","varchar"
"dbo","nwx_nsvv_sch_value","nsvv_pricing_code","Vision Schedule Value","Pricing Code","varchar"
"dbo","nwx_nsvv_sch_value","nsvv_pricing_type","Vision Schedule Value","Pricing Type","char"
"dbo","nwx_nsvv_sch_value","nsvv_eff_dt","Vision Schedule Value","Effective Date","datetime"
"dbo","nwx_nsvv_sch_value","nsvv_term_dt","Vision Schedule Value","Termination Date","datetime"
"dbo","nwx_nsvv_sch_value","nsvv_rate","Vision Schedule Value","Rate","numeric"
"dbo","nwx_nsvv_sch_value","nsvv_create_by","Vision Schedule Value","Created By","varchar"
"dbo","nwx_nsvv_sch_value","nsvv_create_dtm","Vision Schedule Value","Create Date","datetime"
"dbo","nwx_nsvv_sch_value","nsvv_modify_by","Vision Schedule Value","Modified By","varchar"
"dbo","nwx_nsvv_sch_value","nsvv_modify_dtm","Vision Schedule Value","Modified Date","datetime"
"dbo","nwx_nsvv_sch_value","nsvv_reimb_mth","Vision Schedule Value","Reimbursement Method","char"
"dbo","nwx_nsvv_sch_value","nsvv_pct","Vision Schedule Value","Allowed Amount Percentage","numeric"
