"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wcgp_cd_group","wcgp_code_group_id","Workflow Qualifier Group table","Qualifier Group Internal Key","int"
"dbo","nwx_wcgp_cd_group","wcgp_code_grp_name","Workflow Qualifier Group table","Qualifier Group Description","varchar"
"dbo","nwx_wcgp_cd_group","wcgp_qualifier_tp","Workflow Qualifier Group table","Qualifier Type","int"
"dbo","nwx_wcgp_cd_group","wcgp_create_by","Workflow Qualifier Group table","Created By User ID","char"
"dbo","nwx_wcgp_cd_group","wcgp_create_dtm","Workflow Qualifier Group table","Create Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_modify_by","Workflow Qualifier Group table","Last Update User ID","char"
"dbo","nwx_wcgp_cd_group","wcgp_modify_dtm","Workflow Qualifier Group table","Last Update Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_eff_dt","Workflow Qualifier Group table","Effective Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_term_dt","Workflow Qualifier Group table","Termination Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_qual_proc_tp","Workflow Qualifier Group table","Qualifier And/Or logic indicator","int"
"dbo","nwx_wcgp_cd_group","atxr_source_id","Workflow Qualifier Group table","Attachment Source Id","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_lock_token","Workflow Qualifier Group table","Lock Token","smallint"
"dbo","nwx_wcgp_cd_group","wcgp_src_mod_dtm","Workflow Qualifier Group table","Source System Last Modified Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_src_cg_id","Workflow Qualifier Group table","Source System Last Modified Date","int"
"dbo","nwx_wcgp_cd_group","wcgp_src_schema","Workflow Qualifier Group table","Source Database","varchar"
"dbo","nwx_wcgp_cd_group","wcgp_src_sys","Workflow Qualifier Group table","Source System","varchar"
"dbo","nwx_wcgp_cd_group","wcgp_owner_id","Workflow Qualifier Group table","Owner ID","int"
"dbo","nwx_wcgp_cd_group","wcgp_same_line_flg","Workflow Qualifier Group table","Same Line Indicator","int"
"dbo","nwx_wcgp_cd_group","wmgt_msg_type","Workflow Qualifier Group table","Message Type","int"
"dbo","nwx_wcgp_cd_group","wcgp_imported_date","Workflow Qualifier Group table","Import Date","datetime"
"dbo","nwx_wcgp_cd_group","wcgp_code_grp_type","Workflow Qualifier Group table","Code Group Type","char"
