"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wcgv_cd_value","wcgp_code_group_id","Workflow Qualifier Group Values table","Qualifier Group Internal Key","int"
"dbo","nwx_wcgv_cd_value","wcgv_seq_no","Workflow Qualifier Group Values table","Qualifier Value Sequence Number","int"
"dbo","nwx_wcgv_cd_value","wcgv_code_tp_low","Workflow Qualifier Group Values table","Qualifier Value low value","varchar"
"dbo","nwx_wcgv_cd_value","wcgv_code_tp_high","Workflow Qualifier Group Values table","Qualifier Value high value","varchar"
"dbo","nwx_wcgv_cd_value","wcgv_create_by","Workflow Qualifier Group Values table","Created by User ID","char"
"dbo","nwx_wcgv_cd_value","wcgv_create_dtm","Workflow Qualifier Group Values table","Create Date","datetime"
"dbo","nwx_wcgv_cd_value","wcgv_modify_by","Workflow Qualifier Group Values table","Last Modified by User ID","char"
"dbo","nwx_wcgv_cd_value","wcgv_modify_dtm","Workflow Qualifier Group Values table","Last Modified Date","datetime"
"dbo","nwx_wcgv_cd_value","wcgv_code_tp_bean","Workflow Qualifier Group Values table","Qualifier Value Bean Name","varchar"
"dbo","nwx_wcgv_cd_value","wcgv_eff_dt","Workflow Qualifier Group Values table","Qualifier Value Effective Date","datetime"
"dbo","nwx_wcgv_cd_value","wcgv_term_dt","Workflow Qualifier Group Values table","Qualifier Value Termination Date","datetime"
"dbo","nwx_wcgv_cd_value","atxr_source_id","Workflow Qualifier Group Values table","Attachment Source Id","datetime"
"dbo","nwx_wcgv_cd_value","wcgv_lock_token","Workflow Qualifier Group Values table","Lock Token","smallint"
"dbo","nwx_wcgv_cd_value","wcgv_owner_id","Workflow Qualifier Group Values table","Owner ID","int"
"dbo","nwx_wcgv_cd_value","wcgv_low_display","Workflow Qualifier Group Values table","From Code Display Value","varchar"
"dbo","nwx_wcgv_cd_value","wcgv_high_display","Workflow Qualifier Group Values table","To Code Display Value","varchar"
"dbo","nwx_wcgv_cd_value","wcgv_operand_type","Workflow Qualifier Group Values table","Qualifier Operand Type","int"
