"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfac_act_dtl","wqms_message_id","Workflow Activity Details","Workflow Message ID","varchar"
"dbo","nwx_wfac_act_dtl","wmgt_msg_type","Workflow Activity Details","Workflow Message Type","int"
"dbo","nwx_wfac_act_dtl","wfac_seq_no","Workflow Activity Details","Activity Sequence Number","int"
"dbo","nwx_wfac_act_dtl","wrrl_rtg_rule_id","Workflow Activity Details","Routing Rule Contrived Key","int"
"dbo","nwx_wfac_act_dtl","wfac_mctr_act_type","Workflow Activity Details","Workflow Activity Type","char"
"dbo","nwx_wfac_act_dtl","wfac_mctr_act_lvl","Workflow Activity Details","Workflow Activity Level","char"
"dbo","nwx_wfac_act_dtl","cdml_seq_no","Workflow Activity Details","Claim Line-Item Sequence Number","smallint"
"dbo","nwx_wfac_act_dtl","wfac_or_id","Workflow Activity Details","Claim or Line Override ID associated to activity","char"
"dbo","nwx_wfac_act_dtl","wfac_or_excd","Workflow Activity Details","Override Explanation Code","char"
"dbo","nwx_wfac_act_dtl","wrtr_reason_id","Workflow Activity Details","Routing Reason Contrived Key","int"
"dbo","nwx_wfac_act_dtl","wrrl_pend_code","Workflow Activity Details","Routing Reason Pend Code","char"
"dbo","nwx_wfac_act_dtl","usus_id","Workflow Activity Details","User Identifier","char"
"dbo","nwx_wfac_act_dtl","wfac_act_dtm","Workflow Activity Details","Workflow Activity Date Time","datetime"
"dbo","nwx_wfac_act_dtl","wfac_lock_token","Workflow Activity Details","Lock Token","smallint"
"dbo","nwx_wfac_act_dtl","atxr_source_id","Workflow Activity Details","Attachment Source Id","datetime"
"dbo","nwx_wfac_act_dtl","sys_last_upd_dtm","Workflow Activity Details","Last Update Datetime","datetime"
"dbo","nwx_wfac_act_dtl","sys_usus_id","Workflow Activity Details","Last Update User ID","varchar"
"dbo","nwx_wfac_act_dtl","sys_dbuser_id","Workflow Activity Details","Last Update DBMS User ID","varchar"
