"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfbn_wkf_beans","wfbn_wkf_bean_id","Workflow Beans table","Workflow Bean ID","int"
"dbo","nwx_wfbn_wkf_beans","wfbn_bean_name","Workflow Beans table","Workflow Bean Name","varchar"
"dbo","nwx_wfbn_wkf_beans","wfbn_bean_desc","Workflow Beans table","Workflow Bean Description","varchar"
"dbo","nwx_wfbn_wkf_beans","wfbn_bean_type","Workflow Beans table","Workflow Bean Type","int"
"dbo","nwx_wfbn_wkf_beans","wfbn_create_dtm","Workflow Beans table","Creation Date","datetime"
"dbo","nwx_wfbn_wkf_beans","wfbn_create_by","Workflow Beans table","Created By","char"
"dbo","nwx_wfbn_wkf_beans","wfbn_modify_dtm","Workflow Beans table","Modification Date","datetime"
"dbo","nwx_wfbn_wkf_beans","wfbn_modify_by","Workflow Beans table","Modified By","char"
"dbo","nwx_wfbn_wkf_beans","wfbn_lock_token","Workflow Beans table","Lock Token","smallint"
"dbo","nwx_wfbn_wkf_beans","atxr_source_id","Workflow Beans table","Attachment Source Id","datetime"
