"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfii_itin_inst","wfii_instance_id","Itinerary Instance","Itinerary Instance ID","int"
"dbo","nwx_wfii_itin_inst","wfih_itinerary_id","Itinerary Instance","Itinerary ID","int"
"dbo","nwx_wfii_itin_inst","wfii_unique_id1","Itinerary Instance","Unique Identifier 1","varchar"
"dbo","nwx_wfii_itin_inst","wfii_unique_id2","Itinerary Instance","Unique Identifier 2","varchar"
"dbo","nwx_wfii_itin_inst","wfii_unique_id3","Itinerary Instance","Unique Identifier 3","varchar"
"dbo","nwx_wfii_itin_inst","wfii_unique_id4","Itinerary Instance","Unique Identifier 4","varchar"
"dbo","nwx_wfii_itin_inst","wfii_unique_id5","Itinerary Instance","Unique Identifier 5","varchar"
"dbo","nwx_wfii_itin_inst","wfii_modify_dtm","Itinerary Instance","Modification Date","datetime"
"dbo","nwx_wfii_itin_inst","wfii_modify_by","Itinerary Instance","Modified By","char"
"dbo","nwx_wfii_itin_inst","wfii_create_dtm","Itinerary Instance","Creation Date","datetime"
"dbo","nwx_wfii_itin_inst","wfii_create_by","Itinerary Instance","Created By","char"
"dbo","nwx_wfii_itin_inst","wfii_lock_token","Itinerary Instance","Lock Token","smallint"
"dbo","nwx_wfii_itin_inst","atxr_source_id","Itinerary Instance","Attachment Source Id","datetime"
